Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad),Abs Sway,Abs Rudder
0,0.0,0.0,0.0,0.0,0.0,64.781,7.7175,0.0,0.0,0.0
4,-1.4008e-06,-0.0047123,0.01585,13.155,27.927,64.814,7.7175,2.7802e-05,0.0047123,2.7802e-05
8,-9.8227e-05,-0.014642,0.03847,26.302,55.857,64.909,7.7174,-0.045042,0.014642,0.045042
12,-0.00025417,-0.019899,0.037816,39.418,83.802,65.058,7.7173,-0.015805,0.019899,0.015805
16,-0.00046177,-0.025265,0.036747,52.481,111.77,65.232,7.7171,0.054943,0.025265,0.054943
20,-0.00086395,-0.018764,0.015404,65.465,139.77,65.316,7.7167,0.007764,0.018764,0.007764
24,-0.0011683,-0.012288,0.00028595,78.403,167.8,65.364,7.7163,0.068864,0.012288,0.068864
28,-0.0014307,-0.0037561,-0.0079332,91.3,195.84,65.328,7.7161,0.0023532,0.0037561,0.0023532
32,-0.0017647,0.0069608,-0.023483,104.19,223.88,65.269,7.7157,0.042593,0.0069608,0.042593
36,-0.0018674,0.0064644,-0.0080814,117.1,251.92,65.224,7.7156,0.05751,0.0064644,0.05751
40,-0.0021332,0.0082148,-0.00078635,130.01,279.95,65.169,7.7154,-0.056605,0.0082148,0.056605
44,-0.0021564,0.0063172,0.0030924,142.94,307.97,65.187,7.7153,0.018314,0.0063172,0.018314
48,-0.0021173,0.0049893,0.0048631,155.87,335.99,65.209,7.7154,0.029883,0.0049893,0.029883
52,-0.0020765,0.0040869,0.0064816,168.78,364.02,65.227,7.7154,0.010332,0.0040869,0.010332
56,-0.0020915,0.0053559,0.0013218,181.69,392.05,65.244,7.7154,0.023475,0.0053559,0.023475
60,-0.0021225,0.0078705,-0.0035181,194.59,420.09,65.236,7.7154,0.019073,0.0078705,0.019073
64,-0.0022421,0.012718,-0.011494,207.49,448.13,65.198,7.7153,0.011727,0.012718,0.011727
68,-0.0023873,0.01872,-0.021408,220.39,476.16,65.14,7.7151,0.045917,0.01872,0.045917
72,-0.0023726,0.019699,-0.013792,233.32,504.18,65.066,7.7152,0.016763,0.019699,0.016763
76,-0.002434,0.021819,-0.016658,246.27,532.2,65.018,7.7151,0.051258,0.021819,0.051258
80,-0.0025726,0.021014,-0.012164,259.24,560.2,64.979,7.715,0.069432,0.021014,0.069432
84,-0.0025849,0.017598,-0.0012732,272.23,588.19,64.951,7.7149,0.025421,0.017598,0.025421
88,-0.0026,0.018802,-0.0066697,285.23,616.18,64.929,7.7149,0.013567,0.018802,0.013567
92,-0.0025717,0.018311,-0.0066235,298.25,644.16,64.91,7.7149,0.033247,0.018311,0.033247
96,-0.0025148,0.015635,-0.00048562,311.28,672.13,64.899,7.715,0.025256,0.015635,0.025256
100,-0.0027176,0.019847,-0.011171,324.31,700.11,64.856,7.7148,-0.0086582,0.019847,0.0086582
104,-0.002734,0.019018,-0.0094004,337.36,728.07,64.835,7.7148,0.050838,0.019018,0.050838
108,-0.0027252,0.019424,-0.0089153,350.42,756.03,64.798,7.7148,0.030244,0.019424,0.030244
112,-0.0027669,0.021571,-0.014261,363.5,783.98,64.759,7.7148,0.046039,0.021571,0.046039
116,-0.00276,0.022677,-0.012774,376.59,811.92,64.699,7.7148,0.016549,0.022677,0.016549
120,-0.0027421,0.019487,-0.004886,389.71,839.85,64.679,7.7148,0.04319,0.019487,0.04319
124,-0.0027598,0.020993,-0.010315,402.84,867.78,64.648,7.7148,0.03262,0.020993,0.03262
128,-0.0027001,0.019086,-0.0046244,415.99,895.7,64.62,7.7148,0.021373,0.019086,0.021373
132,-0.0026551,0.018296,-0.0046339,429.16,923.61,64.603,7.7149,0.023991,0.018296,0.023991
136,-0.002673,0.019203,-0.0093338,442.33,951.51,64.583,7.7149,0.044292,0.019203,0.044292
140,-0.0026868,0.013802,0.0038906,455.52,979.41,64.584,7.7148,0.038556,0.013802,0.038556
144,-0.0027064,0.015072,-0.0043736,468.71,1007.3,64.585,7.7148,0.038009,0.015072,0.038009
148,-0.0027148,0.014514,-0.0043475,481.91,1035.2,64.578,7.7148,0.048502,0.014514,0.048502
152,-0.0027424,0.016224,-0.006335,495.11,1063.1,64.542,7.7148,9.9418e-05,0.016224,9.9418e-05
156,-0.0028547,0.019491,-0.015816,508.32,1091.0,64.514,7.7147,0.0597,0.019491,0.0597
160,-0.0029946,0.018071,-0.0091415,521.54,1118.9,64.481,7.7145,0.070133,0.018071,0.070133
164,-0.0030381,0.014518,0.0049633,534.78,1146.7,64.446,7.7145,-0.035722,0.014518,0.035722
168,-0.0029593,0.010202,0.0087406,548.04,1174.6,64.482,7.7145,0.011766,0.010202,0.011766
172,-0.0029391,0.010478,0.0021949,561.29,1202.5,64.5,7.7146,0.014504,0.010478,0.014504
176,-0.0030812,0.012523,-0.0020249,574.53,1230.3,64.478,7.7144,-0.027013,0.012523,0.027013
180,-0.002999,0.0080974,0.0066058,587.79,1258.2,64.503,7.7145,0.027655,0.0080974,0.027655
184,-0.0030949,0.012374,-0.0069778,601.03,1286.1,64.496,7.7144,0.021236,0.012374,0.021236
188,-0.0030488,0.012652,-0.0056649,614.28,1314.0,64.479,7.7145,0.037214,0.012652,0.037214
192,-0.0029637,0.01118,0.0006101,627.53,1341.8,64.464,7.7145,0.010128,0.01118,0.010128
196,-0.0029216,0.011468,-0.0020333,640.8,1369.7,64.466,7.7146,0.027659,0.011468,0.027659
200,-0.0028213,0.0085228,0.0057164,654.06,1397.5,64.471,7.7147,0.0099489,0.0085228,0.0099489
204,-0.0028037,0.0092624,-4.9246e-05,667.32,1425.4,64.486,7.7147,0.028338,0.0092624,0.028338
208,-0.0027001,0.0050337,0.01083,680.59,1453.3,64.504,7.7148,0.0031344,0.0050337,0.0031344
212,-0.0028571,0.0082542,-0.00051219,693.84,1481.1,64.511,7.7146,-0.0054737,0.0082542,0.0054737
216,-0.0029739,0.0079732,-0.0028106,707.09,1509.0,64.533,7.7145,0.075291,0.0079732,0.075291
220,-0.0029641,0.0074407,0.0032777,720.33,1536.9,64.515,7.7145,-0.0061695,0.0074407,0.0061695
224,-0.0030073,0.009474,-0.0048841,733.58,1564.8,64.526,7.7145,0.048012,0.009474,0.048012
228,-0.0029711,0.0074939,0.0021779,746.82,1592.6,64.527,7.7145,0.036965,0.0074939,0.036965
232,-0.0029327,0.0083555,0.0001831,760.07,1620.5,64.526,7.7146,0.014153,0.0083555,0.014153
236,-0.0028385,0.0065748,0.0049093,773.31,1648.4,64.535,7.7147,0.011407,0.0065748,0.011407
240,-0.002746,0.0042232,0.0084909,786.55,1676.2,64.564,7.7148,0.015291,0.0042232,0.015291
244,-0.002768,0.0061796,0.0011312,799.78,1704.1,64.577,7.7147,0.012399,0.0061796,0.012399
248,-0.0028794,0.0098019,-0.0092926,813.0,1732.0,64.577,7.7146,0.063176,0.0098019,0.063176
252,-0.002852,0.0081025,0.00063368,826.22,1759.9,64.56,7.7147,0.027549,0.0081025,0.027549
256,-0.0027919,0.0073495,0.0020089,839.45,1787.8,64.57,7.7147,0.029641,0.0073495,0.029641
260,-0.0027833,0.0084334,0.00035203,852.67,1815.6,64.563,7.7147,7.2802e-06,0.0084334,7.2802e-06
264,-0.0026677,0.0021806,0.015657,865.9,1843.5,64.597,7.7148,0.000528,0.0021806,0.000528
268,-0.0030153,0.0066671,0.00061016,879.11,1871.4,64.607,7.7145,-0.028743,0.0066671,0.028743
272,-0.0030517,0.008014,-0.0041163,892.32,1899.3,64.616,7.7145,0.044127,0.008014,0.044127
276,-0.0030169,0.0061539,0.0026066,905.52,1927.2,64.622,7.7145,0.039856,0.0061539,0.039856
280,-0.0030123,0.006813,0.0029083,918.72,1955.1,64.616,7.7145,-0.010611,0.006813,0.010611
284,-0.0029766,0.0061242,0.0045579,931.92,1983.0,64.625,7.7145,-0.0050154,0.0061242,0.0050154
288,-0.0029578,0.0070621,0.00042219,945.12,2010.9,64.637,7.7145,0.018999,0.0070621,0.018999
292,-0.0029716,0.0085768,-0.0042059,958.31,2038.8,64.642,7.7145,0.050317,0.0085768,0.050317
296,-0.0029288,0.0076859,0.00059416,971.5,2066.7,64.638,7.7146,0.032843,0.0076859,0.032843
300,-0.0029246,0.0098885,-0.0036404,984.69,2094.6,64.625,7.7146,0.013697,0.0098885,0.013697
304,-0.002835,0.0080413,0.0022989,997.88,2122.5,64.627,7.7147,0.022863,0.0080413,0.022863
308,-0.0027878,0.0050404,0.010858,1011.1,2150.4,64.638,7.7147,-0.023881,0.0050404,0.023881
312,-0.0028153,0.0052974,0.0050374,1024.3,2178.3,64.669,7.7147,0.0085293,0.0052974,0.0085293
316,-0.0028236,0.0059767,0.00014127,1037.4,2206.2,64.693,7.7147,0.048225,0.0059767,0.048225
320,-0.0028028,0.0075497,-0.0015636,1050.6,2234.1,64.684,7.7147,0.018719,0.0075497,0.018719
324,-0.0027116,0.0048382,0.0079533,1063.8,2262.0,64.689,7.7148,-0.0070461,0.0048382,0.0070461
328,-0.0028589,0.0083462,-0.0026514,1076.9,2289.9,64.69,7.7146,0.00010026,0.0083462,0.00010026
332,-0.002844,0.0075482,-0.00080753,1090.1,2317.8,64.7,7.7147,0.048503,0.0075482,0.048503
336,-0.0028144,0.0083839,-0.00022908,1103.3,2345.7,64.688,7.7147,0.0068784,0.0083839,0.0068784
340,-0.0028479,0.011351,-0.0077534,1116.4,2373.6,64.677,7.7147,0.035002,0.011351,0.035002
344,-0.0028568,0.011638,-0.0018753,1129.6,2401.5,64.639,7.7147,-0.020928,0.011638,0.020928
348,-0.002825,0.007828,0.0048562,1142.8,2429.4,64.666,7.7147,0.043167,0.007828,0.043167
352,-0.0027374,0.0041834,0.011982,1156.0,2457.3,64.694,7.7148,0.0068979,0.0041834,0.0068979
356,-0.0028351,0.0071749,-0.0023749,1169.1,2485.2,64.724,7.7147,0.051147,0.0071749,0.051147
360,-0.002774,0.0060347,0.0043103,1182.3,2513.2,64.717,7.7147,0.001473,0.0060347,0.001473
364,-0.0028615,0.010014,-0.0071593,1195.4,2541.1,64.714,7.7146,0.029545,0.010014,0.029545
368,-0.0028381,0.012147,-0.0081109,1208.6,2569.0,64.683,7.7147,0.025466,0.012147,0.025466
372,-0.0027459,0.010153,0.00086763,1221.7,2596.9,64.668,7.7148,0.011332,0.010153,0.011332
376,-0.0026742,0.0089507,0.0027696,1234.9,2624.8,64.675,7.7148,0.014428,0.0089507,0.014428
380,-0.002609,0.0078412,0.004089,1248.1,2652.7,64.687,7.7149,0.010393,0.0078412,0.010393
384,-0.0025933,0.0083372,0.0014868,1261.2,2680.6,64.692,7.7149,0.0068282,0.0083372,0.0068282
388,-0.0025383,0.0071957,0.0027604,1274.4,2708.5,64.708,7.715,0.028904,0.0071957,0.028904
