Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad),Abs Sway,Abs Rudder
0,0.0,0.0,0.0,0.0,0.0,61.039,7.7175,0.0,0.0,0.0
4,-1.3982e-06,-0.0047073,0.015838,14.95,27.008,61.072,7.7175,-1.5684e-05,0.0047073,1.5684e-05
8,-1.55e-05,-0.011549,0.028487,29.891,54.022,61.164,7.7175,0.0036857,0.011549,0.0036857
12,-8.6813e-05,-0.016076,0.032073,44.799,81.053,61.275,7.7174,-0.016038,0.016076,0.016038
16,-0.00021055,-0.017731,0.026183,59.666,108.11,61.398,7.7173,0.022555,0.017731,0.022555
20,-0.00031461,-0.018427,0.022763,74.485,135.19,61.501,7.7172,0.032021,0.018427,0.032021
24,-0.00061563,-0.012789,0.009164,89.251,162.29,61.548,7.7169,0.00063155,0.012789,0.00063155
28,-0.00081164,-0.0075973,0.0014922,103.99,189.42,61.564,7.7167,0.01062,0.0075973,0.01062
32,-0.0010797,0.00030002,-0.010039,118.7,216.55,61.54,7.7164,0.015547,0.00030002,0.015547
36,-0.0012644,0.0056732,-0.014875,133.41,243.69,61.508,7.7162,0.066815,0.0056732,0.066815
40,-0.0013164,0.0082535,-0.0082254,148.12,270.82,61.45,7.7162,0.007607,0.0082535,0.007607
44,-0.0012786,0.0032674,0.0090201,162.85,297.94,61.46,7.7162,0.014449,0.0032674,0.014449
48,-0.001398,0.0064862,-0.0017916,177.58,325.07,61.472,7.7161,0.023044,0.0064862,0.023044
52,-0.0013627,0.0034406,0.0093142,192.3,352.19,61.478,7.7161,-0.0087371,0.0034406,0.0087371
56,-0.0016139,0.0087565,-0.0069791,207.01,379.33,61.481,7.7159,0.02159,0.0087565,0.02159
60,-0.0016922,0.010649,-0.0087277,221.72,406.46,61.464,7.7158,0.054307,0.010649,0.054307
64,-0.0017395,0.011565,-0.0035877,236.43,433.59,61.421,7.7158,-0.010641,0.011565,0.010641
68,-0.0018366,0.013874,-0.0074361,251.15,460.72,61.395,7.7157,0.0038527,0.013874,0.0038527
72,-0.0018874,0.016294,-0.011074,265.88,487.84,61.36,7.7156,0.02458,0.016294,0.02458
76,-0.00192,0.01747,-0.0086125,280.63,514.95,61.31,7.7156,-0.0033648,0.01747,0.0033648
80,-0.0020117,0.020447,-0.014273,295.39,542.05,61.264,7.7155,0.019372,0.020447,0.019372
84,-0.0020012,0.017596,-0.0047293,310.17,569.15,61.238,7.7155,0.036014,0.017596,0.036014
88,-0.0020253,0.017025,-0.0021904,324.96,596.23,61.209,7.7155,-0.011003,0.017025,0.011003
92,-0.0020772,0.017914,-0.0065955,339.76,623.31,61.19,7.7154,0.011674,0.017914,0.011674
96,-0.0021002,0.017723,-0.0076254,354.58,650.38,61.175,7.7154,0.045392,0.017723,0.045392
100,-0.0021466,0.019965,-0.011887,369.4,677.45,61.133,7.7154,0.027764,0.019965,0.027764
104,-0.0021092,0.018308,-0.0054426,384.25,704.51,61.101,7.7154,0.02216,0.018308,0.02216
108,-0.0022638,0.022674,-0.01574,399.1,731.56,61.049,7.7153,0.010795,0.022674,0.010795
112,-0.0022173,0.019911,-0.0059721,413.97,758.6,61.013,7.7153,0.024313,0.019911,0.024313
116,-0.0023073,0.021214,-0.012308,428.86,785.63,60.991,7.7152,0.058777,0.021214,0.058777
120,-0.0023789,0.019235,-0.0064247,443.77,812.65,60.963,7.7151,0.050614,0.019235,0.050614
124,-0.0024168,0.021011,-0.011124,458.69,839.67,60.926,7.7151,0.030513,0.021011,0.030513
128,-0.0023647,0.01871,-0.0039579,473.62,866.68,60.897,7.7152,0.019708,0.01871,0.019708
132,-0.0023505,0.017402,-0.0039518,488.57,893.67,60.891,7.7152,0.039559,0.017402,0.039559
136,-0.0023778,0.018015,-0.0076544,503.53,920.67,60.874,7.7151,0.043523,0.018015,0.043523
140,-0.002335,0.016404,-0.0021852,518.5,947.66,60.849,7.7152,0.011255,0.016404,0.011255
144,-0.0024708,0.018601,-0.007444,533.47,974.64,60.813,7.7151,-0.013786,0.018601,0.013786
148,-0.0024301,0.016408,-0.0032229,548.46,1001.6,60.804,7.7151,0.030297,0.016408,0.030297
152,-0.0023695,0.014233,0.0008307,563.47,1028.6,60.799,7.7151,0.017908,0.014233,0.017908
156,-0.0024115,0.016211,-0.0064772,578.47,1055.5,60.783,7.7151,0.016619,0.016211,0.016619
160,-0.0023451,0.013398,0.00062521,593.49,1082.5,60.777,7.7152,0.023599,0.013398,0.023599
164,-0.0024324,0.013162,0.0016824,608.5,1109.5,60.76,7.7151,-0.028638,0.013162,0.028638
168,-0.0025145,0.013665,-0.0019793,623.53,1136.4,60.755,7.715,-0.004314,0.013665,0.004314
172,-0.0025544,0.013395,-0.0046973,638.56,1163.4,60.761,7.715,0.055384,0.013395,0.055384
176,-0.0025322,0.01339,-0.002465,653.59,1190.3,60.738,7.715,0.01075,0.01339,0.01075
180,-0.0025272,0.013681,-0.0049249,668.63,1217.3,60.733,7.715,0.040863,0.013681,0.040863
184,-0.0024607,0.0093995,0.0081878,683.68,1244.2,60.728,7.715,-0.010589,0.0093995,0.010589
188,-0.0024652,0.0093686,0.0023974,698.73,1271.2,60.752,7.715,0.01881,0.0093686,0.01881
192,-0.0024773,0.0087953,0.0042008,713.77,1298.1,60.75,7.715,-0.017198,0.0087953,0.017198
196,-0.0024545,0.0075608,0.0048784,728.82,1325.0,60.766,7.715,0.0016554,0.0075608,0.0016554
200,-0.002762,0.013383,-0.0097051,743.85,1352.0,60.739,7.7147,-0.010408,0.013383,0.010408
204,-0.0027555,0.010267,-0.00052122,758.9,1378.9,60.741,7.7148,0.048709,0.010267,0.048709
208,-0.0027021,0.0090847,0.003534,773.95,1405.9,60.737,7.7148,0.0030418,0.0090847,0.0030418
212,-0.0027003,0.0096824,0.00055802,789.0,1432.8,60.739,7.7148,0.0031002,0.0096824,0.0031002
216,-0.0026206,0.0072913,0.0064098,804.05,1459.8,60.749,7.7149,-0.0018253,0.0072913,0.0018253
220,-0.0026404,0.0076708,0.000311,819.1,1486.7,60.776,7.7149,0.046786,0.0076708,0.046786
224,-0.0026643,0.0046007,0.011725,834.14,1513.6,60.775,7.7148,-0.037805,0.0046007,0.037805
228,-0.0028051,0.0066229,0.00094633,849.18,1540.6,60.802,7.7147,0.01115,0.0066229,0.01115
232,-0.0027754,0.0074922,2.4222e-05,864.21,1567.5,60.799,7.7147,0.0072369,0.0074922,0.0072369
236,-0.0026977,0.0053595,0.0049779,879.24,1594.5,60.818,7.7148,0.027868,0.0053595,0.027868
240,-0.0027702,0.0092298,-0.0065366,894.26,1621.5,60.818,7.7147,0.041342,0.0092298,0.041342
244,-0.0027082,0.0076858,0.0012098,909.28,1648.4,60.81,7.7148,0.025579,0.0076858,0.025579
248,-0.0026716,0.0077161,0.00030606,924.3,1675.4,60.818,7.7148,0.033954,0.0077161,0.033954
252,-0.0026013,0.0065288,0.0042463,939.32,1702.3,60.823,7.7149,0.011426,0.0065288,0.011426
256,-0.0025714,0.0069406,0.0013512,954.34,1729.3,60.837,7.7149,0.024232,0.0069406,0.024232
260,-0.00264,0.0067928,-0.0006469,969.36,1756.2,60.857,7.7149,0.063942,0.0067928,0.063942
264,-0.0026421,0.00669,0.0036118,984.36,1783.2,60.844,7.7149,-0.0098781,0.00669,0.0098781
268,-0.0026883,0.007956,-0.0028317,999.37,1810.2,60.862,7.7148,0.050091,0.007956,0.050091
272,-0.0027434,0.007086,-9.587e-05,1014.4,1837.1,60.87,7.7148,0.05784,0.007086,0.05784
276,-0.0027749,0.0065778,0.0053808,1029.4,1864.1,60.856,7.7147,-0.02506,0.0065778,0.02506
280,-0.0028448,0.0071018,0.0028178,1044.4,1891.1,60.865,7.7147,-0.011386,0.0071018,0.011386
284,-0.0039402,0.017589,-0.031135,1059.4,1918.1,60.862,7.7136,0.19659,0.017589,0.19659
288,-0.028134,0.11761,-0.27041,1074.2,1945.0,60.318,7.6903,0.54566,0.11761,0.54566
292,-0.097335,0.29585,-0.58666,1089.1,1971.9,58.59,7.6259,0.69174,0.29585,0.69174
296,-0.17703,0.48487,-0.81444,1104.1,1998.2,55.748,7.556,0.6353,0.48487,0.6353
300,-0.24465,0.63603,-0.90484,1119.9,2023.8,52.254,7.4999,0.41602,0.63603,0.41602
304,-0.2927,0.71269,-0.83738,1136.8,2048.5,48.726,7.4589,0.19543,0.71269,0.19543
308,-0.32858,0.71847,-0.67563,1154.8,2072.2,45.68,7.4238,0.013366,0.71847,0.013366
312,-0.35447,0.68633,-0.52236,1173.9,2094.9,43.307,7.3949,0.0029755,0.68633,0.0029755
316,-0.37231,0.65531,-0.44696,1193.9,2116.7,41.387,7.3744,0.044134,0.65531,0.044134
320,-0.38773,0.6442,-0.45413,1214.5,2137.7,39.62,7.358,0.19729,0.6442,0.19729
324,-0.40671,0.65471,-0.50396,1235.7,2158.0,37.709,7.3401,0.24502,0.65471,0.24502
328,-0.43286,0.68334,-0.57616,1257.6,2177.6,35.549,7.3166,0.31176,0.68334,0.31176
332,-0.46024,0.70608,-0.60453,1280.0,2196.3,33.176,7.2915,0.26051,0.70608,0.26051
336,-0.48643,0.71695,-0.59649,1303.1,2214.1,30.749,7.2665,0.15942,0.71695,0.15942
340,-0.50885,0.71462,-0.56804,1326.8,2230.8,28.424,7.244,0.16988,0.71462,0.16988
344,-0.52666,0.6966,-0.51421,1351.1,2246.5,26.265,7.2245,0.12255,0.6966,0.12255
348,-0.54076,0.67837,-0.48246,1375.9,2261.3,24.284,7.2087,0.13791,0.67837,0.13791
352,-0.55172,0.65724,-0.45178,1401.1,2275.1,22.424,7.1959,0.12263,0.65724,0.12263
