Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad),Abs Sway,Abs Rudder
0,0.0,0.0,0.0,0.0,0.0,32.445,7.7175,0.0,0.0,0.0
4,-1.4009e-06,-0.0047171,0.015864,26.053,16.559,32.478,7.7175,-2.7148e-05,0.0047171,2.7148e-05
8,-1.5462e-05,-0.011968,0.030069,52.1,33.127,32.569,7.7175,-0.0070267,0.011968,0.0070267
12,-0.00011894,-0.016921,0.034185,78.128,49.726,32.685,7.7174,-0.025758,0.016921,0.025758
16,-0.00032515,-0.021837,0.032802,104.13,66.36,32.845,7.7172,0.055466,0.021837,0.055466
20,-0.00059848,-0.017674,0.017867,130.09,83.06,32.929,7.7169,0.0070809,0.017674,0.0070809
24,-0.00094053,-0.0097717,-0.0014587,156.02,99.802,32.967,7.7166,0.04857,0.0097717,0.04857
28,-0.001107,-0.0030341,-0.0084984,181.94,116.57,32.95,7.7164,0.046404,0.0030341,0.046404
32,-0.0011325,-0.0012932,0.00034334,207.84,133.35,32.922,7.7164,-0.0045925,0.0012932,0.0045925
36,-0.0013465,0.0052008,-0.011455,233.75,150.13,32.903,7.7162,0.034132,0.0052008,0.034132
40,-0.0013507,0.0061628,-0.0048651,259.66,166.91,32.875,7.7162,0.028808,0.0061628,0.028808
44,-0.0013619,0.0039377,0.0039066,285.57,183.67,32.883,7.7161,0.036914,0.0039377,0.036914
48,-0.0013918,0.0047646,0.0015492,311.48,200.45,32.896,7.7161,0.030966,0.0047646,0.030966
52,-0.0015064,0.0078181,-0.002973,337.38,217.23,32.878,7.716,-0.0033228,0.0078181,0.0033228
56,-0.0015076,0.0080191,-0.0010956,363.28,234.01,32.872,7.716,0.014524,0.0080191,0.014524
60,-0.0014748,0.0065351,0.0041478,389.19,250.79,32.876,7.716,0.0074903,0.0065351,0.0074903
64,-0.001815,0.013457,-0.012694,415.09,267.57,32.845,7.7157,0.0044773,0.013457,0.0044773
68,-0.0017921,0.013243,-0.0054104,441.0,284.35,32.806,7.7157,0.0025547,0.013243,0.0025547
72,-0.0020959,0.019378,-0.016929,466.9,301.12,32.746,7.7154,-0.0063224,0.019378,0.0063224
76,-0.0020695,0.018686,-0.0099625,492.83,317.86,32.701,7.7155,0.023322,0.018686,0.023322
80,-0.002063,0.018947,-0.007929,518.76,334.59,32.66,7.7155,0.0090834,0.018947,0.0090834
84,-0.0020107,0.014127,0.0033167,544.71,351.3,32.66,7.7155,0.024205,0.014127,0.024205
