Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad),Abs Sway,Abs Rudder
0,0.0,0.0,0.0,0.0,0.0,79.829,7.7175,0.0,0.0,0.0
4,-1.3997e-06,-0.0047145,0.015857,5.4537,30.384,79.863,7.7175,-2.6713e-05,0.0047145,2.6713e-05
8,-2.8799e-05,-0.0096071,0.023076,10.896,60.771,79.948,7.7175,0.019322,0.0096071,0.019322
12,-5.7424e-05,-0.01561,0.03226,16.305,91.163,80.054,7.7175,-0.0044884,0.01561,0.0044884
16,-0.0001302,-0.019648,0.032031,21.673,121.56,80.188,7.7174,0.018187,0.019648,0.018187
20,-0.00036479,-0.01639,0.017248,26.976,151.97,80.281,7.7172,0.019603,0.01639,0.019603
24,-0.00045352,-0.015118,0.015448,32.232,182.39,80.342,7.7171,0.011883,0.015118,0.011883
28,-0.00086816,-0.0056147,-0.0069899,37.444,212.81,80.361,7.7166,0.046248,0.0056147,0.046248
32,-0.00094427,-0.0018389,-0.0051136,42.633,243.24,80.341,7.7166,0.038043,0.0018389,0.038043
36,-0.0011652,0.0063003,-0.015804,47.813,273.67,80.293,7.7163,0.027427,0.0063003,0.027427
40,-0.0011553,0.0069671,-0.0058459,53.003,304.1,80.252,7.7163,0.019329,0.0069671,0.019329
44,-0.0012207,0.0087066,-0.0066804,58.206,334.52,80.238,7.7163,0.045572,0.0087066,0.045572
48,-0.0012636,0.0040429,0.012195,63.412,364.94,80.228,7.7162,-0.034675,0.0040429,0.034675
52,-0.0015157,0.0059157,-0.0015362,68.625,395.36,80.276,7.716,0.070266,0.0059157,0.070266
56,-0.0016034,0.0071321,-0.0023412,73.815,425.79,80.27,7.7159,0.043918,0.0071321,0.043918
60,-0.0016394,0.0079823,-0.002619,79.004,456.21,80.266,7.7159,0.039767,0.0079823,0.039767
64,-0.0017426,0.012149,-0.010881,84.189,486.64,80.24,7.7158,0.039957,0.012149,0.039957
68,-0.0017462,0.013243,-0.0077096,89.381,517.06,80.202,7.7158,0.023321,0.013243,0.023321
72,-0.0018502,0.017321,-0.015374,94.585,547.48,80.161,7.7157,0.042167,0.017321,0.042167
76,-0.0018634,0.018664,-0.011887,99.802,577.9,80.103,7.7157,0.017097,0.018664,0.017097
80,-0.0018742,0.019636,-0.01118,105.04,608.31,80.058,7.7157,0.022884,0.019636,0.022884
84,-0.0018958,0.02086,-0.011604,110.3,638.72,80.011,7.7156,0.01873,0.02086,0.01873
88,-0.0018382,0.015878,0.0027355,115.59,669.13,79.994,7.7157,0.0056609,0.015878,0.0056609
92,-0.0020275,0.020187,-0.014053,120.89,699.54,79.979,7.7155,0.04922,0.020187,0.04922
96,-0.0020053,0.017199,-0.0024172,126.19,729.94,79.944,7.7155,0.014788,0.017199,0.014788
100,-0.0020198,0.016304,-0.0009144,131.52,760.34,79.926,7.7155,-0.0093767,0.016304,0.0093767
104,-0.0022207,0.020205,-0.012408,136.85,790.73,79.892,7.7153,0.0057061,0.020205,0.0057061
108,-0.0022533,0.019487,-0.0099973,142.2,821.13,79.865,7.7153,0.050874,0.019487,0.050874
112,-0.0023402,0.022698,-0.01463,147.56,851.52,79.803,7.7152,0.0092862,0.022698,0.0092862
116,-0.0023321,0.018939,-0.00023178,152.95,881.91,79.759,7.7152,-0.028662,0.018939,0.028662
120,-0.0024539,0.019334,-0.0048124,158.36,912.29,79.742,7.7151,-0.0090334,0.019334,0.0090334
124,-0.0024437,0.017342,-0.0036676,163.79,942.67,79.741,7.7151,0.042313,0.017342,0.042313
128,-0.0024341,0.017691,-0.0054627,169.22,973.05,79.719,7.7151,0.019396,0.017691,0.019396
132,-0.0024225,0.018159,-0.0074781,174.67,1003.4,79.695,7.7151,0.027896,0.018159,0.027896
136,-0.0024115,0.01884,-0.0085267,180.12,1033.8,79.663,7.7151,0.023868,0.01884,0.023868
140,-0.0023937,0.018175,-0.0068959,185.6,1064.2,79.64,7.7151,0.036283,0.018175,0.036283
144,-0.0024195,0.019857,-0.0097149,191.08,1094.5,79.598,7.7151,0.010655,0.019857,0.010655
148,-0.0023551,0.017466,-0.0029882,196.59,1124.9,79.577,7.7152,0.018,0.017466,0.018
152,-0.0023251,0.016404,-0.0031361,202.11,1155.3,79.57,7.7152,0.031013,0.016404,0.031013
156,-0.002281,0.01513,-0.00088582,207.63,1185.6,79.558,7.7152,0.012298,0.01513,0.012298
160,-0.0022743,0.011954,0.0026202,213.17,1216.0,79.577,7.7152,0.046008,0.011954,0.046008
