Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad),Abs Sway,Abs Rudder
0,0.0,0.0,0.0,0.0,0.0,31.949,7.7175,0.0,0.0,0.0
4,-1.4008e-06,-0.0047143,0.015855,26.195,16.333,31.982,7.7175,9.749e-06,0.0047143,9.749e-06
8,-6.8445e-05,-0.013986,0.036447,52.385,32.674,32.076,7.7174,-0.036378,0.013986,0.036378
12,-0.00014746,-0.020902,0.039689,78.558,49.043,32.234,7.7174,0.0041175,0.020902,0.0041175
16,-0.00025789,-0.024586,0.037965,104.7,65.466,32.381,7.7173,-0.0070486,0.024586,0.0070486
20,-0.00085607,-0.015792,0.0075038,130.79,81.954,32.47,7.7167,0.033346,0.015792,0.033346
24,-0.00093777,-0.012939,0.0068348,156.86,98.482,32.503,7.7166,0.035859,0.012939,0.035859
28,-0.0014176,-0.0014971,-0.017135,182.91,115.04,32.495,7.7161,0.080482,0.0014971,0.080482
32,-0.0015112,0.0026295,-0.010748,208.95,131.61,32.438,7.716,0.037211,0.0026295,0.037211
36,-0.0016494,0.0038131,0.00020278,234.99,148.17,32.39,7.7159,-0.042373,0.0038131,0.042373
40,-0.0018161,0.0069481,-0.0057272,261.04,164.72,32.384,7.7157,0.014119,0.0069481,0.014119
44,-0.0017837,0.0069733,-0.0011232,287.09,181.27,32.372,7.7157,0.017317,0.0069733,0.017317
48,-0.0017447,0.0056217,0.0034862,313.14,197.82,32.381,7.7158,0.022607,0.0056217,0.022607
52,-0.0017871,0.0072537,-0.0019728,339.19,214.37,32.39,7.7157,0.038943,0.0072537,0.038943
56,-0.0018122,0.0071403,0.0027629,365.24,230.93,32.374,7.7157,-0.014916,0.0071403,0.014916
60,-0.001831,0.0072284,0.00045185,391.29,247.48,32.39,7.7157,0.029966,0.0072284,0.029966
64,-0.002021,0.010795,-0.0047747,417.33,264.04,32.359,7.7155,-0.019771,0.010795,0.019771
68,-0.0022802,0.017504,-0.019757,443.38,280.6,32.316,7.7152,0.035656,0.017504,0.035656
72,-0.0022719,0.01801,-0.010389,469.43,297.14,32.244,7.7152,-0.0064688,0.01801,0.0064688
76,-0.0023079,0.01944,-0.012794,495.5,313.66,32.209,7.7152,0.039275,0.01944,0.039275
80,-0.0023274,0.019492,-0.0073075,521.57,330.16,32.153,7.7152,-0.011846,0.019492,0.011846
84,-0.0024707,0.02134,-0.015012,547.66,346.65,32.132,7.7151,0.066818,0.02134,0.066818
88,-0.0024707,0.016037,0.0036827,573.76,363.12,32.098,7.715,-0.0065189,0.016037,0.0065189
92,-0.002601,0.01931,-0.010782,599.87,379.57,32.088,7.7149,0.034866,0.01931,0.034866
96,-0.0025403,0.016761,-0.0024109,625.98,396.02,32.063,7.715,0.019921,0.016761,0.019921
100,-0.0027014,0.022081,-0.017861,652.09,412.46,32.024,7.7148,0.039825,0.022081,0.039825
104,-0.0026401,0.018104,-0.0016158,678.22,428.88,31.98,7.7149,-0.0014916,0.018104,0.0014916
108,-0.0027527,0.021021,-0.011233,704.36,445.29,31.948,7.7148,0.0088514,0.021021,0.0088514
112,-0.002702,0.019951,-0.007667,730.5,461.68,31.916,7.7148,0.026616,0.019951,0.026616
116,-0.0026626,0.019524,-0.0061049,756.66,478.05,31.884,7.7149,0.010633,0.019524,0.010633
120,-0.0027026,0.019849,-0.0060327,782.83,494.41,31.846,7.7148,-0.012791,0.019849,0.012791
124,-0.0027468,0.021367,-0.012197,809.0,510.76,31.82,7.7148,0.036218,0.021367,0.036218
128,-0.0027126,0.018655,-0.0012915,835.18,527.09,31.778,7.7148,-0.017652,0.018655,0.017652
132,-0.0027316,0.016937,-0.0033858,861.38,543.4,31.789,7.7148,0.051195,0.016937,0.051195
136,-0.0028113,0.019458,-0.0087941,887.58,559.71,31.746,7.7147,-0.0021236,0.019458,0.0021236
140,-0.0027206,0.013723,0.004978,913.78,576.0,31.749,7.7148,0.018971,0.013723,0.018971
144,-0.0027591,0.014806,-0.0016837,939.99,592.29,31.744,7.7148,2.2258e-05,0.014806,2.2258e-05
148,-0.0027496,0.014587,-0.0044049,966.21,608.57,31.744,7.7148,0.042565,0.014587,0.042565
152,-0.0028561,0.017135,-0.0075335,992.42,624.86,31.699,7.7147,-0.015671,0.017135,0.015671
156,-0.0029478,0.01831,-0.012347,1018.6,641.12,31.682,7.7146,0.063628,0.01831,0.063628
160,-0.0029498,0.015878,0.00025139,1044.9,657.38,31.637,7.7146,-0.023353,0.015878,0.023353
164,-0.0029261,0.013915,-0.0004724,1071.1,673.62,31.653,7.7146,0.040433,0.013915,0.040433
168,-0.0029034,0.0098526,0.0104,1097.4,689.86,31.652,7.7146,-0.03154,0.0098526,0.03154
172,-0.0031691,0.013366,-0.0046,1123.6,706.1,31.657,7.7143,-0.003697,0.013366,0.003697
176,-0.0031233,0.010279,0.0016327,1149.8,722.33,31.669,7.7144,0.044797,0.010279,0.044797
180,-0.0030739,0.010466,5.3409e-05,1176.1,738.56,31.669,7.7144,0.020507,0.010466,0.020507
184,-0.003003,0.0084464,0.0059168,1202.3,754.8,31.669,7.7145,-0.011856,0.0084464,0.011856
188,-0.0032435,0.010054,-0.0059769,1228.6,771.03,31.702,7.7143,0.091735,0.010054,0.091735
192,-0.00325,0.0093366,0.00139,1254.8,787.28,31.676,7.7143,0.0044365,0.0093366,0.0044365
196,-0.0033865,0.014012,-0.013147,1281.0,803.52,31.667,7.7141,0.061716,0.014012,0.061716
200,-0.0034674,0.010666,0.0057024,1307.3,819.75,31.621,7.714,-0.052699,0.010666,0.052699
204,-0.00354,0.010879,-7.6905e-05,1333.5,835.97,31.638,7.714,0.0093916,0.010879,0.0093916
208,-0.0034611,0.010185,-0.00021644,1359.8,852.19,31.646,7.714,0.033316,0.010185,0.033316
212,-0.003335,0.0050437,0.012587,1386.0,868.41,31.667,7.7142,0.0025808,0.0050437,0.0025808
216,-0.0032708,0.0038165,0.0098663,1412.3,884.64,31.707,7.7142,0.0040548,0.0038165,0.0040548
220,-0.0034553,0.0089854,-0.0054828,1438.5,900.88,31.705,7.714,0.0062706,0.0089854,0.0062706
224,-0.0033938,0.0079612,-0.0011832,1464.7,917.12,31.707,7.7141,0.043181,0.0079612,0.043181
228,-0.0033484,0.0083904,-0.0014984,1491.0,933.37,31.706,7.7142,0.037719,0.0083904,0.037719
232,-0.0032541,0.0070977,0.0041146,1517.2,949.61,31.703,7.7142,0.0024681,0.0070977,0.0024681
236,-0.0032389,0.0087312,-0.0018135,1543.4,965.85,31.709,7.7143,0.021755,0.0087312,0.021755
240,-0.0031442,0.0078391,0.0017973,1569.7,982.1,31.709,7.7144,0.01656,0.0078391,0.01656
244,-0.0031042,0.0087415,-0.00030314,1595.9,998.35,31.706,7.7144,0.0090942,0.0087415,0.0090942
248,-0.0030534,0.0076504,0.0011375,1622.1,1014.6,31.72,7.7145,0.041219,0.0076504,0.041219
252,-0.0029593,0.0047177,0.0094599,1648.4,1030.8,31.733,7.7145,-0.00065629,0.0047177,0.00065629
256,-0.0030267,0.0077932,-0.0028238,1674.6,1047.1,31.75,7.7145,0.03292,0.0077932,0.03292
260,-0.0030894,0.0059875,0.0013981,1700.8,1063.4,31.768,7.7144,0.066109,0.0059875,0.066109
264,-0.0030546,0.0053929,0.0054613,1727.1,1079.6,31.766,7.7144,-0.0022472,0.0053929,0.0022472
268,-0.0031067,0.0082993,-0.0047829,1753.3,1095.9,31.777,7.7144,0.042545,0.0082993,0.042545
272,-0.0030458,0.007806,0.0017137,1779.5,1112.2,31.758,7.7145,-0.0064394,0.007806,0.0064394
276,-0.0031582,0.0063981,0.00073875,1805.7,1128.4,31.793,7.7143,0.076877,0.0063981,0.076877
280,-0.0031376,0.0060144,0.0045382,1831.9,1144.7,31.788,7.7144,0.0013872,0.0060144,0.0013872
284,-0.0030989,0.0060256,0.0016502,1858.1,1161.0,31.81,7.7144,0.037742,0.0060256,0.037742
288,-0.0031175,0.0091695,-0.0045509,1884.3,1177.3,31.796,7.7144,0.013112,0.0091695,0.013112
292,-0.0030148,0.0074871,0.0021803,1910.6,1193.6,31.794,7.7145,0.018082,0.0074871,0.018082
296,-0.0029608,0.0073126,0.0029775,1936.8,1209.9,31.797,7.7145,0.0011953,0.0073126,0.0011953
300,-0.0031009,0.0099802,-0.0077158,1963.0,1226.1,31.81,7.7144,0.073173,0.0099802,0.073173
304,-0.0031251,0.0083325,0.00050024,1989.2,1242.4,31.799,7.7144,0.040831,0.0083325,0.040831
308,-0.0032876,0.0059855,0.0029303,2015.4,1258.7,31.832,7.7142,0.085531,0.0059855,0.085531
312,-0.0032945,0.0062396,0.0027641,2041.6,1275.0,31.836,7.7142,0.027608,0.0062396,0.027608
316,-0.0032803,0.0033873,0.012337,2067.8,1291.3,31.844,7.7142,-0.036654,0.0033873,0.036654
320,-0.0035143,0.0071269,-0.0019376,2094.0,1307.6,31.862,7.714,0.0027993,0.0071269,0.0027993
324,-0.0035175,0.0039374,0.0050281,2120.2,1323.9,31.892,7.714,0.058727,0.0039374,0.058727
328,-0.0034787,0.0051859,0.0021206,2146.4,1340.3,31.899,7.714,0.018353,0.0051859,0.018353
332,-0.0035341,0.0082736,-0.0030351,2172.6,1356.6,31.882,7.714,-0.0076081,0.0082736,0.0076081
336,-0.0036198,0.01071,-0.0097031,2198.7,1372.9,31.88,7.7139,0.068464,0.01071,0.068464
340,-0.0036494,0.012939,-0.0065316,2224.9,1389.2,31.824,7.7139,-0.014493,0.012939,0.014493
344,-0.0035925,0.010844,0.0024843,2251.1,1405.5,31.806,7.7139,-0.022034,0.010844,0.022034
348,-0.0035423,0.010323,0.0011088,2277.3,1421.8,31.815,7.714,0.0096328,0.010323,0.0096328
352,-0.0034177,0.0068824,0.0091322,2303.5,1438.1,31.83,7.7141,-0.0063322,0.0068824,0.0063322
356,-0.0033344,0.0052158,0.0074757,2329.7,1454.4,31.869,7.7142,0.023764,0.0052158,0.023764
360,-0.0033862,0.0079425,-0.00052858,2355.9,1470.8,31.869,7.7141,-0.0012094,0.0079425,0.0012094
364,-0.0033056,0.0077046,0.00083625,2382.1,1487.1,31.871,7.7142,0.013759,0.0077046,0.013759
368,-0.0033313,0.010648,-0.007519,2408.3,1503.4,31.867,7.7142,0.046205,0.010648,0.046205
372,-0.0032942,0.011291,-0.0055333,2434.5,1519.7,31.846,7.7142,0.038772,0.011291,0.038772
376,-0.0032066,0.010537,-0.00054543,2460.7,1536.0,31.83,7.7143,0.013435,0.010537,0.013435
380,-0.0031824,0.0084073,0.0067578,2486.9,1552.3,31.825,7.7143,-0.028604,0.0084073,0.028604
384,-0.003229,0.0091615,0.0010941,2513.0,1568.7,31.838,7.7143,0.0021471,0.0091615,0.0021471
388,-0.0031661,0.0075704,0.0025965,2539.2,1585.0,31.859,7.7143,0.039247,0.0075704,0.039247
392,-0.0032332,0.010816,-0.0041983,2565.4,1601.3,31.839,7.7143,-0.0028182,0.010816,0.0028182
396,-0.003153,0.0076899,0.006814,2591.6,1617.6,31.834,7.7144,-0.020216,0.0076899,0.020216
400,-0.0031697,0.0071603,0.0054129,2617.8,1633.9,31.851,7.7143,-0.011642,0.0071603,0.011642
404,-0.0031981,0.0091195,-0.0020285,2644.0,1650.2,31.857,7.7143,0.015493,0.0091195,0.015493
408,-0.0032756,0.011264,-0.0085259,2670.2,1666.5,31.855,7.7142,0.067005,0.011264,0.067005
412,-0.0032409,0.0075707,0.0077512,2696.4,1682.8,31.835,7.7143,-0.021632,0.0075707,0.021632
416,-0.0032813,0.0091228,-0.00060911,2722.6,1699.2,31.85,7.7142,0.015448,0.0091228,0.015448
420,-0.0032579,0.010682,-0.0050161,2748.8,1715.5,31.846,7.7142,0.038619,0.010682,0.038619
424,-0.0031756,0.0098014,-0.00033571,2775.0,1731.8,31.836,7.7143,0.022931,0.0098014,0.022931
428,-0.0049343,-0.013032,0.065992,2801.2,1748.1,31.893,7.7126,-0.22668,0.013032,0.22668
432,-0.033032,-0.1352,0.3429,2827.4,1764.3,32.657,7.6857,-0.57575,0.1352,0.57575
436,-0.10374,-0.32947,0.66843,2853.4,1780.4,34.699,7.6209,-0.6907,0.32947,0.6907
440,-0.18527,-0.52855,0.89489,2878.9,1796.9,37.871,7.5507,-0.61775,0.52855,0.61775
444,-0.24934,-0.67365,0.95151,2903.5,1814.2,41.627,7.4985,-0.36722,0.67365,0.36722
448,-0.2964,-0.7349,0.8448,2927.0,1832.6,45.268,7.4574,-0.10851,0.7349,0.10851
452,-0.33359,-0.7341,0.68275,2949.4,1852.2,48.339,7.4203,0.033595,0.7341,0.033595
456,-0.36135,-0.69085,0.51442,2970.7,1872.8,50.695,7.3885,0.026576,0.69085,0.026576
460,-0.37925,-0.65971,0.45552,2991.1,1894.2,52.6,7.3678,-0.07002,0.65971,0.07002
464,-0.39471,-0.64958,0.46892,3010.6,1916.2,54.424,7.3515,-0.16463,0.64958,0.16463
468,-0.41573,-0.66956,0.54518,3029.4,1938.8,56.444,7.3324,-0.26099,0.66956,0.26099
472,-0.44118,-0.69579,0.60141,3047.3,1961.9,58.744,7.3095,-0.25824,0.69579,0.25824
476,-0.4691,-0.71934,0.63059,3064.3,1985.7,61.227,7.284,-0.20859,0.71934,0.20859
480,-0.49562,-0.7289,0.61889,3080.2,2010.0,63.749,7.2586,-0.12626,0.7289,0.12626
484,-0.51757,-0.71994,0.57428,3095.1,2034.9,66.128,7.2358,-0.12384,0.71994,0.12384
488,-0.53556,-0.70104,0.52354,3108.8,2060.3,68.328,7.2161,-0.058915,0.70104,0.058915
492,-0.54901,-0.67604,0.47902,3121.5,2086.2,70.312,7.2003,-0.094739,0.67604,0.094739
496,-0.55985,-0.65851,0.46409,3133.3,2112.5,72.204,7.1879,-0.065008,0.65851,0.065008
500,-0.56865,-0.6424,0.45319,3144.0,2139.1,74.038,7.1777,-0.072498,0.6424,0.072498
504,-0.5763,-0.63031,0.44982,3153.9,2166.0,75.854,7.169,-0.0547,0.63031,0.0547
508,-0.58287,-0.61897,0.44395,3162.9,2193.3,77.655,7.1614,-0.034575,0.61897,0.034575
512,-0.58742,-0.60326,0.42693,3171.0,2220.7,79.385,7.1556,-0.076954,0.60326,0.076954
516,-0.5902,-0.58333,0.39943,3178.2,2248.4,81.04,7.1511,-0.028501,0.58333,0.028501
520,-0.59081,-0.56032,0.36959,3184.5,2276.3,82.584,7.1487,0.0097943,0.56032,0.0097943
524,-0.58908,-0.53088,0.33108,3190.0,2304.4,83.973,7.1482,-0.0053025,0.53088,0.0053025
528,-0.58512,-0.50304,0.30256,3194.7,2332.6,85.25,7.1501,0.04988,0.50304,0.04988
532,-0.57915,-0.47398,0.27548,3198.7,2360.9,86.405,7.1541,0.044462,0.47398,0.044462
536,-0.57176,-0.44348,0.24534,3202.1,2389.3,87.46,7.1595,0.094699,0.44348,0.094699
540,-0.56238,-0.4135,0.22405,3204.8,2417.8,88.379,7.1671,0.0078978,0.4135,0.0078978
544,-0.55208,-0.38185,0.19465,3207.0,2446.4,89.22,7.1756,0.062701,0.38185,0.062701
548,-0.54035,-0.35201,0.17296,3208.7,2475.1,89.959,7.1858,0.076234,0.35201,0.076234
552,-0.52829,-0.31489,0.13278,3209.9,2503.9,90.568,7.1961,0.092808,0.31489,0.092808
556,-0.51468,-0.27961,0.10535,3210.7,2532.7,91.037,7.2082,0.074983,0.27961,0.074983
560,-0.5007,-0.24148,0.071217,3211.1,2561.5,91.386,7.2208,0.088839,0.24148,0.088839
564,-0.48603,-0.20371,0.040326,3211.2,2590.4,91.618,7.2343,0.12922,0.20371,0.12922
568,-0.47098,-0.16594,0.011637,3211.1,2619.4,91.731,7.2484,0.14337,0.16594,0.14337
572,-0.4556,-0.12854,-0.011809,3210.8,2648.4,91.712,7.263,0.066086,0.12854,0.066086
576,-0.44033,-0.092747,-0.037065,3210.4,2677.5,91.629,7.2778,0.13416,0.092747,0.13416
580,-0.42504,-0.058591,-0.055769,3209.9,2706.6,91.437,7.2927,0.09276,0.058591,0.09276
584,-0.41022,-0.025072,-0.076535,3209.4,2735.8,91.168,7.3073,0.088082,0.025072,0.088082
588,-0.39573,0.0043656,-0.091339,3209.0,2765.1,90.85,7.3218,0.13526,0.0043656,0.13526
592,-0.38197,0.033552,-0.1038,3208.5,2794.4,90.432,7.3356,0.027055,0.033552,0.027055
596,-0.3688,0.06071,-0.12011,3208.2,2823.7,89.988,7.3489,0.078408,0.06071,0.078408
600,-0.35638,0.087223,-0.13747,3208.1,2853.2,89.483,7.3616,0.11468,0.087223,0.11468
604,-0.34427,0.10735,-0.13722,3208.1,2882.6,88.925,7.374,0.053013,0.10735,0.053013
608,-0.3328,0.12503,-0.14158,3208.3,2912.2,88.371,7.3858,0.070145,0.12503,0.070145
612,-0.32178,0.13767,-0.13811,3208.8,2941.7,87.814,7.397,0.058666,0.13767,0.058666
616,-0.31172,0.1536,-0.14986,3209.5,2971.3,87.232,7.4074,0.051828,0.1536,0.051828
620,-0.30186,0.1622,-0.14431,3210.4,3001.0,86.649,7.4174,0.056594,0.1622,0.056594
624,-0.29266,0.1709,-0.14391,3211.7,3030.6,86.057,7.4268,0.011649,0.1709,0.011649
628,-0.28375,0.17708,-0.14475,3213.2,3060.3,85.493,7.4359,0.065308,0.17708,0.065308
632,-0.27524,0.18074,-0.13885,3214.9,3090.0,84.917,7.4445,0.020226,0.18074,0.020226
636,-0.26719,0.18587,-0.14229,3217.0,3119.7,84.348,7.4526,0.020224,0.18587,0.020224
640,-0.25925,0.18473,-0.13054,3219.3,3149.5,83.799,7.4605,0.010401,0.18473,0.010401
644,-0.25158,0.18579,-0.13194,3221.9,3179.2,83.276,7.4682,0.033824,0.18579,0.033824
648,-0.24405,0.18228,-0.12132,3224.8,3209.0,82.772,7.4757,0.025333,0.18228,0.025333
652,-0.23685,0.18004,-0.11668,3228.0,3238.7,82.279,7.4828,-0.017441,0.18004,0.017441
656,-0.22955,0.17229,-0.10256,3231.5,3268.5,81.844,7.4899,0.0037024,0.17229,0.0037024
660,-0.22234,0.167,-0.10005,3235.1,3298.2,81.441,7.497,0.022707,0.167,0.022707
664,-0.21527,0.16107,-0.094935,3239.1,3328.0,81.053,7.504,0.02284,0.16107,0.02284
668,-0.20844,0.15501,-0.087801,3243.2,3357.7,80.672,7.5107,-0.021527,0.15501,0.021527
672,-0.20162,0.14703,-0.079213,3247.6,3387.4,80.336,7.5173,-0.0081015,0.14703,0.0081015
676,-0.19488,0.13985,-0.076739,3252.1,3417.2,80.04,7.5239,0.045373,0.13985,0.045373
680,-0.18838,0.12958,-0.060167,3256.9,3446.9,79.746,7.5302,-0.03873,0.12958,0.03873
684,-0.18184,0.12158,-0.060492,3261.8,3476.6,79.526,7.5366,0.049568,0.12158,0.049568
688,-0.17544,0.11128,-0.047282,3266.9,3506.4,79.302,7.5429,-0.0069522,0.11128,0.0069522
692,-0.16909,0.10349,-0.044913,3272.1,3536.1,79.115,7.5491,0.00089755,0.10349,0.00089755
696,-0.16296,0.091227,-0.032326,3277.5,3565.8,78.983,7.5551,0.048875,0.091227,0.048875
700,-0.15689,0.079161,-0.018432,3283.0,3595.5,78.87,7.561,-0.015854,0.079161,0.015854
704,-0.15115,0.073098,-0.021362,3288.5,3625.3,78.768,7.5667,-0.052054,0.073098,0.052054
708,-0.14541,0.06604,-0.020511,3294.2,3655.0,78.689,7.5724,-0.0010567,0.06604,0.0010567
712,-0.13977,0.05607,-0.010432,3299.9,3684.8,78.637,7.5779,0.020864,0.05607,0.020864
716,-0.13434,0.051467,-0.013215,3305.7,3714.6,78.581,7.5833,-0.001041,0.051467,0.001041
720,-0.12906,0.040573,0.0014769,3311.5,3744.3,78.565,7.5885,0.011488,0.040573,0.011488
724,-0.12391,0.031839,0.0073168,3317.4,3774.1,78.583,7.5937,0.0064091,0.031839,0.0064091
728,-0.11895,0.021319,0.017861,3323.3,3803.9,78.635,7.5986,-0.00017732,0.021319,0.00017732
732,-0.1142,0.015972,0.014392,3329.2,3833.8,78.694,7.6033,-0.0015129,0.015972,0.0015129
736,-0.10962,0.010929,0.0145,3335.1,3863.6,78.75,7.6079,0.003117,0.010929,0.003117
740,-0.10522,0.0048494,0.018246,3341.0,3893.5,78.823,7.6123,0.022779,0.0048494,0.022779
744,-0.10103,0.0015713,0.018035,3346.8,3923.3,78.883,7.6165,-0.011546,0.0015713,0.011546
748,-0.097107,-0.0051502,0.023255,3352.7,3953.3,78.99,7.6204,0.055514,0.0051502,0.055514
752,-0.09325,-0.0089596,0.025757,3358.5,3983.2,79.076,7.6243,-0.0026772,0.0089596,0.0026772
756,-0.089542,-0.013775,0.030494,3364.3,4013.1,79.18,7.628,-0.016987,0.013775,0.016987
760,-0.086,-0.017749,0.031423,3370.1,4043.1,79.302,7.6315,-0.0025363,0.017749,0.0025363
764,-0.082636,-0.021163,0.033458,3375.8,4073.1,79.421,7.6349,-0.019813,0.021163,0.019813
768,-0.079448,-0.023327,0.029367,3381.4,4103.1,79.561,7.6381,0.037955,0.023327,0.037955
772,-0.076379,-0.025961,0.030892,3387.0,4133.2,79.689,7.6412,0.039131,0.025961,0.039131
776,-0.073388,-0.028932,0.035762,3392.6,4163.2,79.813,7.6442,-0.0027574,0.028932,0.0027574
780,-0.070743,-0.024377,0.019202,3398.1,4193.3,79.922,7.6468,0.022965,0.024377,0.022965
784,-0.068074,-0.029293,0.032307,3403.5,4223.4,80.042,7.6495,0.04576,0.029293,0.04576
788,-0.065577,-0.027944,0.029156,3408.9,4253.5,80.14,7.652,-0.026107,0.027944,0.026107
792,-0.063275,-0.027521,0.022549,3414.2,4283.7,80.274,7.6543,0.076404,0.027521,0.076404
796,-0.060904,-0.032435,0.040258,3419.5,4313.8,80.377,7.6567,-0.031726,0.032435,0.031726
800,-0.058868,-0.027807,0.020223,3424.7,4344.0,80.512,7.6587,0.049923,0.027807,0.049923
804,-0.056671,-0.031468,0.032252,3429.8,4374.2,80.626,7.6609,0.03805,0.031468,0.03805
808,-0.054576,-0.028731,0.023778,3434.9,4404.5,80.736,7.663,0.027756,0.028731,0.027756
812,-0.052485,-0.027611,0.023328,3439.9,4434.7,80.83,7.6651,0.021595,0.027611,0.021595
816,-0.05064,-0.023984,0.019244,3444.9,4465.0,80.893,7.6669,-0.024298,0.023984,0.024298
820,-0.048718,-0.023888,0.020346,3449.8,4495.2,80.986,7.6688,0.031993,0.023888,0.031993
824,-0.046841,-0.023856,0.024087,3454.7,4525.5,81.063,7.6707,-0.0070518,0.023856,0.0070518
828,-0.045106,-0.022281,0.020688,3459.5,4555.8,81.147,7.6724,0.0011255,0.022281,0.0011255
832,-0.043461,-0.0199,0.014319,3464.3,4586.1,81.231,7.6741,0.048821,0.0199,0.048821
836,-0.041848,-0.020046,0.017739,3469.0,4616.5,81.305,7.6757,0.047223,0.020046,0.047223
840,-0.040241,-0.019616,0.019204,3473.7,4646.8,81.376,7.6773,0.020474,0.019616,0.020474
844,-0.038802,-0.015177,0.0089159,3478.4,4677.2,81.434,7.6787,0.035047,0.015177,0.035047
848,-0.03731,-0.013195,0.0095934,3483.0,4707.5,81.471,7.6802,0.026212,0.013195,0.026212
852,-0.036038,-0.011847,0.0075445,3487.6,4737.9,81.528,7.6815,0.075274,0.011847,0.075274
856,-0.034852,-0.010105,0.012821,3492.2,4768.3,81.534,7.6827,-0.043765,0.010105,0.043765
860,-0.033715,-0.0069758,0.0028157,3496.7,4798.7,81.588,7.6838,0.057411,0.0069758,0.057411
864,-0.032443,-0.008966,0.016403,3501.3,4829.1,81.604,7.6851,-0.028955,0.008966,0.028955
868,-0.031404,-0.0046167,0.0027887,3505.8,4859.5,81.648,7.6861,0.026117,0.0046167,0.026117
872,-0.030144,-0.0059723,0.011326,3510.2,4889.9,81.672,7.6874,0.0052934,0.0059723,0.0052934
876,-0.029175,-0.00073076,-0.00093061,3514.7,4920.4,81.686,7.6883,0.010638,0.00073076,0.010638
880,-0.02799,-0.0049227,0.015358,3519.1,4950.8,81.71,7.6895,-0.0099261,0.0049227,0.0099261
884,-0.027237,-0.00028276,0.002664,3523.6,4981.2,81.729,7.6903,-0.018637,0.00028276,0.018637
888,-0.026266,0.0012701,0.0022446,3528.0,5011.7,81.734,7.6912,-0.0037721,0.0012701,0.0037721
892,-0.025374,0.0048381,-0.0036056,3532.4,5042.1,81.726,7.6921,0.0065906,0.0048381,0.0065906
896,-0.024381,0.0037832,0.0021352,3536.8,5072.6,81.733,7.6931,0.031435,0.0037832,0.031435
900,-0.023501,0.0062551,-0.0018418,3541.2,5103.0,81.726,7.694,0.011093,0.0062551,0.011093
904,-0.022672,0.0060259,-0.0011198,3545.6,5133.5,81.738,7.6948,0.056413,0.0060259,0.056413
908,-0.021939,0.0080044,-0.0052639,3550.0,5164.0,81.736,7.6956,0.060625,0.0080044,0.060625
912,-0.02162,0.020543,-0.03272,3554.4,5194.4,81.663,7.6959,0.069764,0.020543,0.069764
916,-0.022025,0.043186,-0.073572,3558.8,5224.9,81.456,7.6956,0.10352,0.043186,0.10352
920,-0.022364,0.066135,-0.096028,3563.3,5255.4,81.101,7.6954,0.052125,0.066135,0.052125
924,-0.023496,0.094676,-0.13154,3567.8,5285.8,80.653,7.6946,0.10264,0.094676,0.10264
928,-0.023671,0.10287,-0.10472,3572.5,5316.2,80.172,7.6945,0.022795,0.10287,0.022795
932,-0.024027,0.11359,-0.10539,3577.5,5346.6,79.74,7.6943,0.0090847,0.11359,0.0090847
936,-0.024034,0.11192,-0.081229,3582.6,5376.9,79.364,7.6943,-0.0051803,0.11192,0.0051803
940,-0.023856,0.10597,-0.061704,3588.0,5407.2,79.076,7.6944,-0.0090034,0.10597,0.0090034
944,-0.02362,0.10293,-0.059281,3593.4,5437.5,78.831,7.6946,0.0016729,0.10293,0.0016729
948,-0.023416,0.10224,-0.065318,3599.1,5467.8,78.597,7.6948,0.055441,0.10224,0.055441
