Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad),Abs Sway,Abs Rudder
0,0.0,0.0,0.0,0.0,0.0,52.563,7.7175,0.0,0.0,0.0
4,-1.3979e-06,-0.0047076,0.015839,18.767,24.51,52.597,7.7175,1.9683e-06,0.0047076,1.9683e-06
8,-1.731e-05,-0.011959,0.030268,37.527,49.026,52.686,7.7175,-0.010648,0.011959,0.010648
12,-8.4997e-05,-0.016603,0.032407,56.258,73.564,52.807,7.7174,-0.0074023,0.016603,0.0074023
16,-0.00022745,-0.019948,0.029341,74.951,98.13,52.947,7.7173,0.044679,0.019948,0.044679
20,-0.00035522,-0.019991,0.02401,93.591,122.74,53.053,7.7172,0.028996,0.019991,0.028996
24,-0.00063921,-0.013709,0.0071374,112.18,147.38,53.111,7.7169,0.029041,0.013709,0.029041
28,-0.00090769,-0.0054811,-0.0074017,130.74,172.04,53.113,7.7166,0.046623,0.0054811,0.046623
32,-0.0011696,0.0038968,-0.016963,149.28,196.72,53.051,7.7163,0.015075,0.0038968,0.015075
36,-0.0011514,0.0049175,-0.0054855,167.83,221.39,53.005,7.7164,0.0066258,0.0049175,0.0066258
40,-0.0012746,0.004595,0.0038073,186.39,246.05,52.981,7.7162,-0.0396,0.004595,0.0396
44,-0.0014491,0.0070237,-0.0028434,204.95,270.71,52.985,7.7161,0.010097,0.0070237,0.010097
48,-0.0014288,0.0055227,0.0027186,223.51,295.37,52.993,7.7161,0.028255,0.0055227,0.028255
52,-0.001487,0.0078821,-0.0031125,242.07,320.03,52.992,7.716,0.027313,0.0078821,0.027313
56,-0.0015347,0.0065552,0.00091242,260.63,344.69,53.002,7.716,0.049649,0.0065552,0.049649
60,-0.0015273,0.005539,0.0051959,279.18,369.36,53.005,7.716,0.0063612,0.005539,0.0063612
64,-0.0017791,0.012002,-0.012401,297.72,394.03,52.99,7.7157,0.031838,0.012002,0.031838
68,-0.0018633,0.014847,-0.014145,316.27,418.7,52.948,7.7157,0.053359,0.014847,0.053359
72,-0.0019387,0.018774,-0.016521,334.82,443.36,52.882,7.7156,0.024686,0.018774,0.024686
76,-0.0019727,0.020962,-0.016198,353.4,468.01,52.821,7.7156,0.033331,0.020962,0.033331
80,-0.0019492,0.01961,-0.0079715,372.0,492.64,52.774,7.7156,0.020444,0.01961,0.020444
84,-0.0019846,0.020484,-0.0087277,390.61,517.26,52.732,7.7155,0.0026488,0.020484,0.0026488
88,-0.0019506,0.016898,-0.0010267,409.24,541.86,52.724,7.7156,0.030594,0.016898,0.030594
92,-0.0019446,0.016436,-0.0021753,427.88,566.45,52.712,7.7156,0.011338,0.016436,0.011338
96,-0.0019683,0.017237,-0.0058997,446.53,591.05,52.693,7.7156,0.01528,0.017237,0.01528
100,-0.0019882,0.018326,-0.0088698,465.18,615.63,52.666,7.7155,0.02654,0.018326,0.02654
104,-0.0020675,0.020861,-0.014783,483.85,640.21,52.627,7.7155,0.04731,0.020861,0.04731
108,-0.0020989,0.019701,-0.0052939,502.53,664.78,52.569,7.7154,-0.019167,0.019701,0.019167
112,-0.0023009,0.024161,-0.018316,521.22,689.33,52.525,7.7152,0.027604,0.024161,0.027604
116,-0.0022877,0.021981,-0.0091592,539.94,713.87,52.479,7.7152,0.033614,0.021981,0.033614
120,-0.00224,0.0171,0.0042893,558.68,738.39,52.458,7.7153,-0.013818,0.0171,0.013818
124,-0.0023558,0.018693,-0.0056993,577.42,762.91,52.451,7.7152,0.0073178,0.018693,0.0073178
128,-0.002378,0.017256,-0.0010024,596.18,787.42,52.423,7.7151,-0.021133,0.017256,0.021133
132,-0.0023809,0.016063,-0.0010527,614.94,811.91,52.417,7.7151,0.0015701,0.016063,0.0015701
136,-0.0023959,0.016683,-0.0062606,633.72,836.41,52.411,7.7151,0.035542,0.016683,0.035542
140,-0.0024927,0.020957,-0.015867,652.49,860.9,52.363,7.715,0.028738,0.020957,0.028738
144,-0.0024838,0.017492,-0.0040754,671.28,885.38,52.335,7.715,0.038295,0.017492,0.038295
148,-0.0024952,0.017956,-0.0048364,690.09,909.85,52.305,7.715,-0.0011064,0.017956,0.0011064
152,-0.0024323,0.014847,0.0025099,708.91,934.31,52.295,7.7151,-0.0063846,0.014847,0.0063846
156,-0.0024263,0.01428,-0.0017141,727.73,958.76,52.306,7.7151,0.033875,0.01428,0.033875
160,-0.0023939,0.012371,0.003479,746.56,983.21,52.296,7.7151,-0.011,0.012371,0.011
164,-0.0023874,0.011096,0.003537,765.39,1007.7,52.305,7.7151,-0.0043229,0.011096,0.0043229
168,-0.0026386,0.016808,-0.012928,784.22,1032.1,52.279,7.7149,0.013013,0.016808,0.013013
172,-0.0025894,0.014233,-0.0032433,803.06,1056.6,52.258,7.7149,0.034368,0.014233,0.034368
176,-0.0025254,0.011066,0.0058315,821.91,1081.0,52.252,7.715,-0.010382,0.011066,0.010382
180,-0.0025315,0.010401,0.0034625,840.76,1105.4,52.265,7.715,-0.0021444,0.010401,0.0021444
184,-0.0025013,0.008243,0.0071732,859.62,1129.8,52.277,7.715,-0.013455,0.008243,0.013455
188,-0.0028266,0.012331,-0.0047043,878.46,1154.3,52.263,7.7147,-0.027266,0.012331,0.027266
192,-0.0028459,0.013589,-0.0068906,897.31,1178.7,52.245,7.7147,0.017928,0.013589,0.017928
196,-0.0027688,0.010114,0.0029489,916.17,1203.1,52.246,7.7147,0.028476,0.010114,0.028476
200,-0.0027346,0.010367,-0.00027301,935.03,1227.6,52.253,7.7148,0.027796,0.010367,0.027796
204,-0.0026977,0.010136,0.0012597,953.89,1252.0,52.244,7.7148,-0.0018864,0.010136,0.0018864
208,-0.0026606,0.0068868,0.005774,972.76,1276.4,52.275,7.7148,0.042716,0.0068868,0.042716
212,-0.0027201,0.010146,-0.0038301,991.61,1300.8,52.27,7.7148,0.016864,0.010146,0.016864
216,-0.0026633,0.0068495,0.0048072,1010.5,1325.3,52.284,7.7148,0.035318,0.0068495,0.035318
220,-0.0026097,0.0061303,0.0053322,1029.3,1349.7,52.297,7.7149,0.0095633,0.0061303,0.0095633
224,-0.0025962,0.0068371,0.000743,1048.2,1374.1,52.315,7.7149,0.032329,0.0068371,0.032329
228,-0.002554,0.0054976,0.0064794,1067.0,1398.6,52.316,7.7149,-0.011888,0.0054976,0.011888
232,-0.0027273,0.0080986,-0.0056796,1085.9,1423.0,52.342,7.7148,0.072734,0.0080986,0.072734
236,-0.0027195,0.006856,0.0019604,1104.7,1447.5,52.331,7.7148,0.026165,0.006856,0.026165
240,-0.0028402,0.0097371,-0.0026602,1123.5,1471.9,52.31,7.7147,-0.017419,0.0097371,0.017419
244,-0.0027585,0.0072987,0.0047351,1142.4,1496.3,52.315,7.7147,0.001606,0.0072987,0.001606
248,-0.0027555,0.008044,0.0013453,1161.2,1520.8,52.322,7.7147,0.0047699,0.008044,0.0047699
252,-0.002651,0.004187,0.0099282,1180.0,1545.2,52.349,7.7149,0.014505,0.004187,0.014505
256,-0.0026356,0.003391,0.0092838,1198.9,1569.7,52.375,7.7149,-0.0091988,0.003391,0.0091988
260,-0.0027619,0.0073703,-0.0048907,1217.7,1594.1,52.391,7.7147,0.039038,0.0073703,0.039038
264,-0.0026866,0.0029807,0.01165,1236.5,1618.6,52.393,7.7148,-0.016617,0.0029807,0.016617
268,-0.0029012,0.0081818,-0.0061239,1255.3,1643.1,52.405,7.7146,0.026569,0.0081818,0.026569
272,-0.0030647,0.0072735,-0.0031248,1274.1,1667.5,52.415,7.7144,0.084571,0.0072735,0.084571
276,-0.0031069,0.0061555,0.0026074,1292.9,1692.0,52.413,7.7144,0.038293,0.0061555,0.038293
280,-0.0031053,0.0082738,-0.0033702,1311.7,1716.5,52.415,7.7144,0.038957,0.0082738,0.038957
284,-0.0030643,0.0090867,-0.0032134,1330.5,1740.9,52.405,7.7144,0.034358,0.0090867,0.034358
288,-0.0029839,0.0073676,0.0046433,1349.3,1765.4,52.397,7.7145,-0.0069844,0.0073676,0.0069844
292,-0.0029749,0.0072484,0.0037382,1368.1,1789.9,52.406,7.7145,-0.0059183,0.0072484,0.0059183
296,-0.0029415,0.0065437,0.0021782,1386.9,1814.3,52.431,7.7146,0.040098,0.0065437,0.040098
300,-0.0029137,0.0073113,0.0016032,1405.7,1838.8,52.427,7.7146,0.0019034,0.0073113,0.0019034
304,-0.0028266,0.0052547,0.0056265,1424.5,1863.3,52.448,7.7147,0.023223,0.0052547,0.023223
308,-0.0028164,0.0065117,0.0016894,1443.3,1887.8,52.455,7.7147,0.0071818,0.0065117,0.0071818
312,-0.0028261,0.0088663,-0.0043097,1462.1,1912.3,52.452,7.7147,0.026948,0.0088663,0.026948
316,-0.0027268,0.006055,0.0057372,1480.8,1936.8,52.454,7.7148,0.010241,0.006055,0.010241
320,-0.002812,0.0099235,-0.0067288,1499.6,1961.2,52.457,7.7147,0.038246,0.0099235,0.038246
324,-0.0027718,0.0099319,-0.0033273,1518.4,1985.7,52.441,7.7147,0.03413,0.0099319,0.03413
328,-0.0026825,0.0071373,0.0062456,1537.2,2010.2,52.441,7.7148,0.00089341,0.0071373,0.00089341
332,-0.0027206,0.0074403,8.6512e-05,1556.0,2034.7,52.47,7.7148,0.054801,0.0074403,0.054801
336,-0.0027072,0.0074277,0.00055671,1574.7,2059.2,52.474,7.7148,0.035813,0.0074277,0.035813
340,-0.0026595,0.0054587,0.007863,1593.5,2083.7,52.476,7.7148,-0.015292,0.0054587,0.015292
344,-0.0028375,0.010324,-0.0085348,1612.3,2108.2,52.481,7.7147,0.039275,0.010324,0.039275
348,-0.0027579,0.008365,0.0014039,1631.1,2132.7,52.467,7.7147,0.016926,0.008365,0.016926
352,-0.0027961,0.0082651,0.0036003,1649.8,2157.2,52.458,7.7147,-0.024717,0.0082651,0.024717
356,-0.0028406,0.0095496,-0.0015321,1668.6,2181.6,52.463,7.7147,0.009416,0.0095496,0.009416
360,-0.0028807,0.0095061,-0.00322,1687.4,2206.1,52.473,7.7146,0.060635,0.0095061,0.060635
364,-0.0030361,0.010639,0.00028976,1706.1,2230.6,52.434,7.7145,-0.041356,0.010639,0.041356
368,-0.0029626,0.006067,0.0086764,1724.9,2255.1,52.467,7.7145,0.022466,0.006067,0.022466
372,-0.0029945,0.0080328,0.00092672,1743.7,2279.6,52.476,7.7145,0.0045163,0.0080328,0.0045163
376,-0.0030507,0.010429,-0.0070856,1762.5,2304.1,52.479,7.7145,0.055579,0.010429,0.055579
380,-0.0029841,0.0073303,0.004884,1781.2,2328.6,52.473,7.7145,0.016063,0.0073303,0.016063
384,-0.0029627,0.0085721,-0.00070098,1800.0,2353.1,52.482,7.7145,0.025698,0.0085721,0.025698
388,-0.0029252,0.008481,0.0019009,1818.8,2377.6,52.472,7.7146,-0.0077138,0.008481,0.0077138
392,-0.0029975,0.011674,-0.0066685,1837.5,2402.1,52.461,7.7145,0.015018,0.011674,0.015018
396,-0.0029,0.0063473,0.0087242,1856.3,2426.6,52.472,7.7146,0.018376,0.0063473,0.018376
400,-0.0032673,0.012036,-0.006174,1875.1,2451.1,52.45,7.7142,-0.029046,0.012036,0.029046
404,-0.0033196,0.011673,-0.0060898,1893.8,2475.6,52.452,7.7142,0.061531,0.011673,0.061531
408,-0.0032602,0.0096117,0.0020078,1912.6,2500.0,52.443,7.7142,0.022639,0.0096117,0.022639
412,-0.0031942,0.0096273,0.00024985,1931.4,2524.5,52.448,7.7143,0.024363,0.0096273,0.024363
416,-0.0030885,0.0074931,0.0054198,1950.2,2549.0,52.457,7.7144,0.010473,0.0074931,0.010473
420,-0.0031289,0.010546,-0.005033,1968.9,2573.5,52.459,7.7144,0.028272,0.010546,0.028272
424,-0.003027,0.0038963,0.014957,1987.7,2598.0,52.472,7.7145,-0.012772,0.0038963,0.012772
428,-0.0034909,0.010641,-0.0068346,2006.5,2622.5,52.471,7.714,-0.016352,0.010641,0.016352
432,-0.0033963,0.0095666,-0.0013903,2025.3,2647.0,52.463,7.7141,0.019741,0.0095666,0.019741
436,-0.0033098,0.0093593,-0.00012866,2044.0,2671.5,52.46,7.7142,0.017831,0.0093593,0.017831
440,-0.0032756,0.008323,0.00053357,2062.8,2696.0,52.475,7.7142,0.048578,0.008323,0.048578
444,-0.0032808,0.010278,-0.00223,2081.6,2720.5,52.456,7.7142,-0.0010369,0.010278,0.0010369
448,-0.0032059,0.0079896,0.0056202,2100.3,2744.9,52.453,7.7143,-0.015906,0.0079896,0.015906
452,-0.003285,0.010121,-0.0019078,2119.1,2769.4,52.454,7.7142,-0.00026265,0.010121,0.00026265
456,-0.0033589,0.0085048,-0.00077931,2137.9,2793.9,52.476,7.7141,0.072213,0.0085048,0.072213
460,-0.0033327,0.0092114,-0.00039835,2156.7,2818.4,52.464,7.7142,0.015322,0.0092114,0.015322
464,-0.0032093,0.0052644,0.0090057,2175.4,2842.9,52.485,7.7143,0.017301,0.0052644,0.017301
468,-0.0032693,0.0088446,-0.0042749,2194.2,2867.4,52.497,7.7142,0.036535,0.0088446,0.036535
472,-0.0032221,0.009245,-0.00051419,2213.0,2891.9,52.474,7.7143,-0.006774,0.009245,0.006774
476,-0.0032069,0.0098682,-0.00088888,2231.7,2916.4,52.465,7.7143,-0.0029225,0.0098682,0.0029225
480,-0.0031612,0.010481,-0.0028015,2250.5,2940.9,52.463,7.7143,0.024551,0.010481,0.024551
484,-0.0030698,0.0080257,0.0036942,2269.3,2965.4,52.47,7.7144,0.02724,0.0080257,0.02724
488,-0.0030675,0.010188,-0.0030831,2288.0,2989.9,52.468,7.7144,0.020662,0.010188,0.020662
492,-0.0029644,0.0080878,0.0040991,2306.8,3014.4,52.466,7.7145,0.0053036,0.0080878,0.0053036
496,-0.0029383,0.0089439,-0.00047083,2325.6,3038.9,52.476,7.7146,0.02269,0.0089439,0.02269
500,-0.0029134,0.0088063,-0.0011434,2344.3,3063.4,52.483,7.7146,0.04429,0.0088063,0.04429
504,-0.0028845,0.0099711,-0.002879,2363.1,3087.9,52.473,7.7146,0.026037,0.0099711,0.026037
508,-0.0029209,0.008651,-0.00060339,2381.9,3112.3,52.485,7.7146,0.060268,0.008651,0.060268
512,-0.0028794,0.0073222,0.0052696,2400.6,3136.8,52.479,7.7146,-0.0050821,0.0073222,0.0050821
516,-0.0030013,0.0090147,-0.0045833,2419.4,3161.3,52.503,7.7145,0.070378,0.0090147,0.070378
520,-0.0030478,0.011541,-0.0051271,2438.2,3185.8,52.464,7.7145,-0.0043505,0.011541,0.0043505
524,-0.0030257,0.012872,-0.0061149,2456.9,3210.3,52.441,7.7145,0.012671,0.012872,0.012671
528,-0.0030382,0.011363,-0.0027463,2475.7,3234.8,52.443,7.7145,0.057042,0.011363,0.057042
532,-0.0029809,0.0080012,0.0063238,2494.5,3259.3,52.45,7.7145,0.022096,0.0080012,0.022096
536,-0.002891,0.0043445,0.010899,2513.3,3283.8,52.491,7.7146,0.027049,0.0043445,0.027049
540,-0.002849,0.0042711,0.0062528,2532.0,3308.3,52.524,7.7147,0.023233,0.0042711,0.023233
544,-0.0029363,0.0087735,-0.0066886,2550.8,3332.8,52.523,7.7146,0.033756,0.0087735,0.033756
548,-0.0029059,0.0098389,-0.005538,2569.5,3357.3,52.505,7.7146,0.037897,0.0098389,0.037897
552,-0.0029112,0.012575,-0.0077434,2588.3,3381.8,52.469,7.7146,0.0092926,0.012575,0.0092926
556,-0.0028926,0.013508,-0.0080292,2607.1,3406.3,52.449,7.7146,0.041534,0.013508,0.041534
560,-0.012151,0.069021,-0.15272,2625.8,3430.8,52.206,7.7057,0.3906,0.069021,0.3906
564,-0.063514,0.22078,-0.46064,2644.4,3455.3,51.003,7.6572,0.66121,0.22078,0.66121
568,-0.13385,0.40488,-0.71777,2663.1,3479.4,48.612,7.5944,0.63415,0.40488,0.63415
572,-0.20212,0.57136,-0.86271,2682.2,3502.8,45.403,7.5371,0.49505,0.57136,0.49505
576,-0.25086,0.67041,-0.83828,2702.1,3525.3,41.945,7.4967,0.24887,0.67041,0.24887
580,-0.28649,0.69273,-0.69195,2723.1,3546.7,38.855,7.4632,0.038207,0.69273,0.038207
584,-0.31337,0.67079,-0.53743,2744.9,3567.0,36.395,7.4345,-0.039738,0.67079,0.039738
588,-0.33194,0.63487,-0.43112,2767.5,3586.3,34.471,7.4128,-0.022738,0.63487,0.022738
592,-0.34524,0.61275,-0.41004,2790.7,3604.7,32.834,7.3977,0.14856,0.61275,0.14856
596,-0.36011,0.6157,-0.45164,2814.4,3622.4,31.126,7.3831,0.22061,0.6157,0.22061
600,-0.38274,0.64405,-0.53155,2838.5,3639.3,29.143,7.363,0.23988,0.64405,0.23988
604,-0.40677,0.66857,-0.57233,2863.1,3655.4,26.951,7.3412,0.31119,0.66857,0.31119
608,-0.43278,0.69025,-0.59061,2888.2,3670.5,24.603,7.3173,0.21102,0.69025,0.21102
612,-0.45462,0.69049,-0.55631,2913.8,3684.7,22.305,7.2956,0.15167,0.69049,0.15167
616,-0.47225,0.67589,-0.50446,2939.9,3697.7,20.185,7.2767,0.10084,0.67589,0.10084
620,-0.48616,0.65724,-0.46511,2966.3,3709.7,18.247,7.2611,0.084677,0.65724,0.084677
624,-0.49662,0.63536,-0.43284,2993.2,3720.8,16.47,7.2488,0.12229,0.63536,0.12229
628,-0.50495,0.6173,-0.41573,3020.3,3731.0,14.769,7.2389,0.083072,0.6173,0.083072
632,-0.51197,0.60439,-0.41294,3047.7,3740.3,13.107,7.2308,0.086235,0.60439,0.086235
636,-0.51776,0.59288,-0.41075,3075.3,3748.8,11.471,7.2241,0.13179,0.59288,0.13179
640,-0.52264,0.58102,-0.4006,3103.2,3756.4,9.8363,7.2183,0.070193,0.58102,0.070193
644,-0.52543,0.56348,-0.37804,3131.2,3763.2,8.2875,7.2141,0.083142,0.56348,0.083142
648,-0.52665,0.54474,-0.35458,3159.5,3769.2,6.8094,7.2115,0.019532,0.54474,0.019532
652,-0.52556,0.51938,-0.32021,3187.8,3774.4,5.4615,7.2107,0.014115,0.51938,0.014115
656,-0.52237,0.48975,-0.28175,3216.3,3778.8,4.2495,7.2118,-0.031159,0.48975,0.031159
660,-0.51682,0.46232,-0.26011,3244.9,3782.6,3.1791,7.2155,0.027496,0.46232,0.027496
664,-0.50992,0.43345,-0.23265,3273.6,3785.7,2.1887,7.2206,-0.01612,0.43345,0.01612
668,-0.50149,0.40807,-0.21773,3302.4,3788.3,1.2883,7.2275,-0.0037273,0.40807,0.0037273
672,-0.49219,0.3754,-0.18096,3331.3,3790.3,0.48869,7.2351,-0.040438,0.3754,0.040438
676,-0.48126,0.34575,-0.15998,3360.2,3791.8,-0.18786,7.2445,-0.016663,0.34575,0.016663
