Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad),Abs Sway,Abs Rudder
0,0.0,0.0,0.0,0.0,0.0,13.929,7.7175,0.0,0.0,0.0
4,-1.3991e-06,-0.00471,0.015845,29.963,7.4285,13.962,7.7175,-7.0287e-06,0.00471,7.0287e-06
8,-2.3759e-05,-0.010016,0.024223,59.923,14.868,14.049,7.7175,0.015915,0.010016,0.015915
12,-6.5893e-05,-0.017208,0.034646,89.875,22.338,14.171,7.7175,0.011203,0.017208,0.011203
16,-0.00020309,-0.017665,0.02533,119.81,29.86,14.291,7.7173,0.023468,0.017665,0.023468
20,-0.00035737,-0.01685,0.021308,149.74,37.439,14.37,7.7172,-0.0088438,0.01685,0.0088438
24,-0.00056409,-0.013286,0.010801,179.65,45.059,14.435,7.7169,0.020297,0.013286,0.020297
28,-0.00080706,-0.006428,-0.0018661,209.55,52.722,14.447,7.7167,0.022643,0.006428,0.022643
32,-0.00090744,-0.002354,-0.0018971,239.45,60.405,14.43,7.7166,0.0014878,0.002354,0.0014878
36,-0.0011273,0.0037166,-0.0122,269.34,68.092,14.417,7.7164,0.060264,0.0037166,0.060264
40,-0.0012202,0.0084947,-0.01234,299.23,75.788,14.36,7.7163,0.020858,0.0084947,0.020858
44,-0.0012959,0.0057789,0.00033162,329.13,83.463,14.356,7.7162,0.050511,0.0057789,0.050511
48,-0.0013871,0.0078901,-0.001231,359.02,91.142,14.336,7.7161,-0.0049659,0.0078901,0.0049659
52,-0.0014102,0.0070801,0.00033322,388.92,98.812,14.349,7.7161,0.040139,0.0070801,0.040139
56,-0.0013876,0.0048277,0.0068252,418.81,106.49,14.362,7.7161,0.016779,0.0048277,0.016779
60,-0.0016265,0.0084514,-0.0018279,448.7,114.17,14.351,7.7159,-0.018752,0.0084514,0.018752
64,-0.0018301,0.012891,-0.01366,478.6,121.86,14.338,7.7157,0.059142,0.012891,0.059142
68,-0.0018556,0.011431,-0.0033044,508.49,129.54,14.308,7.7157,0.032664,0.011431,0.032664
72,-0.0020307,0.017287,-0.01574,538.38,137.21,14.263,7.7155,0.022413,0.017287,0.022413
76,-0.0020098,0.017402,-0.0087716,568.28,144.87,14.208,7.7155,0.0039288,0.017402,0.0039288
80,-0.0020971,0.0204,-0.015538,598.18,152.51,14.169,7.7154,0.042274,0.0204,0.042274
84,-0.0021107,0.018835,-0.0078332,628.09,160.12,14.13,7.7154,0.03812,0.018835,0.03812
