Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad),Abs Sway,Abs Rudder
0,0.0,0.0,0.0,0.0,0.0,24.399,7.7175,0.0,0.0,0.0
4,-1.3995e-06,-0.0047104,0.015845,28.114,12.75,24.432,7.7175,2.6027e-06,0.0047104,2.6027e-06
8,-0.00011111,-0.015488,0.040553,56.225,25.507,24.531,7.7174,-0.047122,0.015488,0.047122
12,-0.00038533,-0.019319,0.036369,84.318,38.299,24.675,7.7171,-0.032452,0.019319,0.032452
16,-0.00049569,-0.023149,0.034449,112.39,51.143,24.823,7.717,0.014107,0.023149,0.014107
20,-0.00080149,-0.018653,0.01736,140.43,64.054,24.916,7.7167,0.0096318,0.018653,0.0096318
24,-0.0010283,-0.012708,0.0040832,168.44,77.013,24.962,7.7165,0.036544,0.012708,0.036544
28,-0.0013619,-0.0023672,-0.013997,196.44,90.008,24.944,7.7161,0.051349,0.0023672,0.051349
32,-0.0014202,0.001449,-0.0093084,224.43,103.01,24.903,7.7161,0.04081,0.001449,0.04081
36,-0.0014443,0.0043318,-0.0056641,252.42,116.01,24.866,7.7161,0.011109,0.0043318,0.011109
40,-0.0015094,0.0079562,-0.0088056,280.42,129.0,24.839,7.716,0.026124,0.0079562,0.026124
44,-0.0015328,0.008874,-0.0030419,308.41,141.99,24.803,7.716,-0.0086303,0.008874,0.0086303
48,-0.0015959,0.0068689,0.0010881,336.42,154.97,24.822,7.7159,0.054593,0.0068689,0.054593
52,-0.0017024,0.0086167,-0.0039895,364.42,167.95,24.824,7.7158,0.054673,0.0086167,0.054673
56,-0.0018146,0.0091038,-0.0039976,392.42,180.94,24.821,7.7157,0.059666,0.0091038,0.059666
60,-0.0018084,0.0081377,0.0017455,420.41,193.92,24.811,7.7157,0.016208,0.0081377,0.016208
64,-0.0020238,0.013605,-0.014199,448.41,206.91,24.799,7.7155,0.063809,0.013605,0.063809
68,-0.0020153,0.01169,-0.00076471,476.41,219.89,24.758,7.7155,-0.0008081,0.01169,0.0008081
72,-0.002382,0.020113,-0.021864,504.41,232.86,24.709,7.7151,0.028243,0.020113,0.028243
76,-0.0025679,0.01564,-0.0052292,532.43,245.81,24.683,7.7149,0.074321,0.01564,0.074321
80,-0.0026148,0.017298,-0.0070832,560.44,258.75,24.643,7.7149,0.0091443,0.017298,0.0091443
84,-0.0025582,0.016317,-0.003995,588.46,271.67,24.622,7.715,0.01525,0.016317,0.01525
88,-0.0025469,0.017132,-0.0068852,616.49,284.59,24.601,7.715,0.022462,0.017132,0.022462
92,-0.0025417,0.017238,-0.0076156,644.53,297.49,24.581,7.715,0.041291,0.017238,0.041291
96,-0.0026928,0.021577,-0.014775,672.56,310.39,24.518,7.7148,-0.003788,0.021577,0.003788
100,-0.0026664,0.02079,-0.010616,700.61,323.26,24.48,7.7149,0.035452,0.02079,0.035452
104,-0.0027241,0.023559,-0.014624,728.66,336.11,24.419,7.7148,0.0076068,0.023559,0.0076068
108,-0.0026682,0.022077,-0.0087781,756.73,348.94,24.377,7.7149,0.020519,0.022077,0.020519
112,-0.0026048,0.019333,-0.0030351,784.81,361.75,24.358,7.7149,0.024537,0.019333,0.024537
116,-0.0026398,0.02046,-0.0072465,812.89,374.54,24.326,7.7149,0.0014902,0.02046,0.0014902
120,-0.0026006,0.018894,-0.0032696,840.98,387.32,24.3,7.7149,-0.0023765,0.018894,0.0023765
124,-0.0026723,0.019565,-0.0098831,869.07,400.09,24.292,7.7149,0.058474,0.019565,0.058474
128,-0.0028257,0.020202,-0.012161,897.17,412.84,24.265,7.7147,0.074163,0.020202,0.074163
132,-0.0028573,0.019496,-0.0049225,925.28,425.59,24.21,7.7147,-0.013309,0.019496,0.013309
136,-0.0028331,0.017759,-0.0043677,953.39,438.3,24.207,7.7147,0.040795,0.017759,0.040795
