Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (deg),Rudder Angle (rad)
0,0.0,0.0,0.0,0.0,0.0,0.0,7.7175,0,0.0
2,-5.05061946273619e-08,-0.0019406297240008,0.0089331598666846,15.435,-0.0008811090930386,0.0046756812448646,7.71750019348757,0,0.0
4,-8.39532020045812e-07,-0.0044963762197138,0.0163960195595167,30.8700003347604,-0.0035119954557048,0.0264335863861942,7.71750047030922,0,0.0
6,-3.6560903363542e-06,-0.0075006743618982,0.0227314102240254,46.3050011355825,-0.0046300718331113,0.062516309282481,7.71749998888078,0,0.0
8,-9.9476885145021e-06,-0.0108273887102223,0.0281996728380958,61.7399998360119,-0.0013578772224462,0.110808023780843,7.71749764754567,0,0.0
10,-2.11565455607553e-05,-0.014381053452539,0.0329985301092313,77.1749893552194,0.0088829962349471,0.169680122339932,7.71749224255297,11,0.191986217719376
12,-0.0003498780904479,-0.0235775738784306,0.0559458942610391,92.6099570013003,0.0284373247441585,0.237874041966583,7.71718613913638,11,0.191986217719376
14,-0.0031654667671859,-0.0526793310925606,0.13150513725161,108.04310537638,0.0394630510394428,0.387242856225535,7.71451439836317,11,0.191986217719376
16,-0.0063476258356484,-0.0872184001669603,0.199159534403216,123.470698625968,0.0392780531365854,0.685380669324323,7.71164560822839,11,0.191986217719376
18,-0.0097932518693064,-0.12491358215693,0.257582595540028,138.892529223916,0.0575893440329489,1.11392973386102,7.70871887658298,11,0.191986217719376
20,-0.0136663693384281,-0.164695025432465,0.308711243243754,154.308294694403,0.12242126697551,1.65547271194718,7.70559388109148,11,0.191986217719376
22,-0.0181201139181203,-0.205704186945849,0.35394512985681,169.717177970574,0.259343425809444,2.29617860728503,7.70212729333457,11,0.191986217719376
24,-0.0232906550375875,-0.247237818080353,0.394281099363266,185.117747596313,0.491959289875366,3.0247994616848,7.69818056314582,11,0.191986217719376
26,-0.0292934860703902,-0.288709139401346,0.430419045321456,200.507895547324,0.842239329749,3.83192083320342,7.69362543720472,11,0.191986217719376
28,-0.0362210157368018,-0.329621822882984,0.462845203917548,215.88480244243,1.33073304803094,4.70941203859855,7.68834815680223,11,0.191986217719376
30,-0.0441410374430833,-0.369553383039917,0.491897570463469,231.244925100893,1.97668869565171,5.65003353843442,7.6822527601719,11,0.191986217719376
32,-0.0530959728968931,-0.408145260683593,0.517816910625674,246.584004070319,2.79810498276546,6.64716758590086,7.67526362052098,11,0.191986217719376
34,-0.0631029161186232,-0.445097377132213,0.540785868138507,261.897089824992,3.81173553307693,7.69464468282724,7.66732720006533,11,0.191986217719376
36,-0.0741545217089477,-0.480165335239826,0.560957995584953,277.178586414582,5.0330638838118,8.78664301501119,7.65841294588365,11,0.191986217719376
38,-0.0862207362681547,-0.513158809042747,0.578478142402488,292.422310849364,6.47626417939424,9.91764146322605,7.64851326496606,11,0.191986217719376
40,-0.099251299110512,-0.543940026631544,0.593495468979232,307.621565763248,8.15416009561996,11.0824095482855,7.63764256961376,-11,-0.191986217719376
42,-0.112400820650765,-0.567184866241093,0.588472783623103,322.769222155095,10.0781918319088,12.2760201836417,7.62622004667,-11,-0.191986217719376
44,-0.124814499965381,-0.56558548250313,0.517322048090968,337.85609768495,12.2775248643027,13.4247652412772,7.61372182578627,-11,-0.191986217719376
46,-0.138376360783306,-0.540757708192106,0.404958260848241,352.868693377447,14.7793307330099,14.4035828731612,7.59839022671924,-11,-0.191986217719376
48,-0.149605724077907,-0.508654893982105,0.309553218668376,367.799970774229,17.5687036279309,15.163138087676,7.58496892364803,-11,-0.191986217719376
50,-0.158296803470514,-0.473030754755936,0.23254061907192,382.657626175167,20.6016078505021,15.7417736697932,7.57398911151624,-11,-0.191986217719376
52,-0.164877671280974,-0.435159850697033,0.169101533281233,397.450592132233,23.8397461337215,16.1736871953467,7.56514825604389,-11,-0.191986217719376
54,-0.169714945037576,-0.395909901623217,0.115663796613973,412.187421161692,27.2511689341658,16.4841047058836,7.55816140910721,-11,-0.191986217719376
56,-0.173118781026437,-0.355871202457111,0.0695932526279132,426.876161630605,30.8086713743646,16.691611137994,7.55276984224591,-11,-0.191986217719376
58,-0.175351989039837,-0.315443439382601,0.0289530171608492,441.524339934673,34.4885845147002,16.8098978713588,7.54874169532114,-11,-0.191986217719376
60,-0.17663936424627,-0.274895165049508,-0.0076780953817304,456.138988000668,38.2698714405643,16.8490598353947,7.54586949791923,-11,-0.191986217719376
62,-0.177175811587671,-0.234405300119829,-0.0413400367403343,470.72668526301,42.1334530359032,16.8165545306357,7.54396677558168,-11,-0.191986217719376
64,-0.177132914302976,-0.194092534542084,-0.072790146746243,485.293600242376,46.0617048379268,16.7179113347274,7.54286468783764,-11,-0.191986217719376
66,-0.176664023099659,-0.154036400708901,-0.102575184647492,499.845525132589,50.0380809614788,16.5572578801797,7.54240906098694,-11,-0.191986217719376
68,-0.175908078242601,-0.114292496420871,-0.131083920261392,514.387900987093,54.0468327264514,16.3377128621716,7.54245792093364,-11,-0.191986217719376
70,-0.174992392936065,-0.0749035156984239,-0.158585640584102,528.925833147794,58.0727984656609,16.0616812788463,7.54287952570378,-11,-0.191986217719376
72,-0.174034599706213,-0.0359072113835618,-0.185258518944647,543.464097522508,62.1012475322169,15.7310781468528,7.54355085972507,-11,-0.191986217719376
74,-0.173143925280121,0.0026579429198022,-0.211210733461171,558.007138743165,66.1177662905845,15.3474994102125,7.54435654292819,-11,-0.191986217719376
76,-0.172421926858413,0.040748865750858,-0.236496438987737,572.559061410973,70.1081773100052,14.9123534085185,7.54518810897793,-11,-0.191986217719376
78,-0.171962797875161,0.0783153943597727,-0.261128122413572,587.123615701935,74.058485427782,14.4269623713652,7.54594361028783,-11,-0.191986217719376
80,-0.171853334652006,0.115298974227454,-0.285086447388085,601.704178636364,77.954846068689,13.8926405738244,7.54652750950629,-11,-0.191986217719376
82,-0.172172645522953,0.151632331638982,-0.30832837724712,616.303732338793,81.7835523808482,13.3107537453552,7.54685081674587,-11,-0.191986217719376
84,-0.17299167916756,0.187239990298295,-0.330794122394263,630.924840637307,85.5310385123879,12.6827628760292,7.54683142895592,-11,-0.191986217719376
86,-0.174372646988675,0.222039511139129,-0.352413269129978,645.569625368834,89.1838968068298,12.0102545717322,7.54639462314651,-11,-0.191986217719376
88,-0.176368413364739,0.255943336011671,-0.373110297465652,660.239743757795,92.7289069160727,11.2949594751353,7.54547364969203,-11,-0.191986217719376
90,-0.179021925619517,0.288861106539507,-0.39280957842876,674.936368205586,96.1530748825958,10.5387599164504,7.54401036695911,-11,-0.191986217719376
92,-0.182365751034909,0.320702314853998,-0.411439853570931,689.660169753852,99.4436801846392,9.74368782443677,7.54195585539185,-11,-0.191986217719376
94,-0.186421780136164,0.351379128713365,-0.428938140003193,704.411306354719,102.588328623214,8.91191395593865,7.53927094922333,-11,-0.191986217719376
96,-0.191201143406246,0.380809224776343,-0.445252973089434,719.189416891069,105.575008808008,8.04572963467257,7.53592662812207,-11,-0.191986217719376
98,-0.196704372875384,0.408918464509706,-0.460346894831552,733.993621641712,108.392149915698,7.14752237102155,7.53190421975703,-11,-0.191986217719376
100,-0.202921821731516,0.435643259690423,-0.47419811594344,748.822529590184,111.028678385875,6.21974691127051,7.52719537723199,-11,-0.191986217719376
102,-0.209834335813426,0.460932499003695,-0.486801318261415,763.674252649682,113.474071312318,5.26489339131007,7.52180181165682,-11,-0.191986217719376
104,-0.217414152478531,0.484748942044653,-0.498167614081968,778.546426543734,115.718404491781,4.28545431246272,7.51573477825058,-11,-0.191986217719376
106,-0.225625986742338,0.507070028578777,-0.508323731792875,793.436237768526,117.752393404644,3.28389199733423,7.50901433241463,-11,-0.191986217719376
108,-0.234428253267594,0.527888094627247,-0.517310544563418,808.340455793421,119.567425802571,2.26260802002455,7.50166838824498,-11,-0.191986217719376
110,-0.243774366636941,0.547210028049226,-0.525181094254173,823.255469451337,121.155585037479,1.22391585198018,7.49373162433682,-11,-0.191986217719376
