Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (deg),Rudder Angle (rad)
0,0,0,0,0,0,0,7.7175,0,0
1,0,-0.000881109093038606,0.00467568124486468,7.7175,0,0,7.71750005029823,0,0
2,-5.05061946273619e-08,-0.00194062972400084,0.00893315986668464,15.435,-0.000881109093038606,0.00467568124486468,7.71750019348757,0,0
3,-2.78632950096638e-07,-0.00315310473839392,0.0128247452746449,23.1525000821634,-0.00219194425960544,0.0136088411115493,7.71750036549205,0,0
4,-8.39532020045812e-07,-0.00449637621971385,0.0163960195595167,30.8700003347604,-0.00351199545570486,0.0264335863861942,7.71750047030922,0,0
5,-1.90513560301529e-06,-0.00595115988821997,0.0196867033367701,38.5875007483234,-0.00444787904127373,0.0428296059457109,7.71750038940975,0,0
6,-3.6560903363542e-06,-0.00750067436189825,0.0227314102240254,46.3050011355825,-0.00463007183311137,0.062516309282481,7.71749998888078,0,0
7,-6.27604792635639e-06,-0.00913031821971858,0.0255603042743371,54.022501069626,-0.00371006403465275,0.0852477195065063,7.71749912484287,0,0
8,-9.9476885145021e-06,-0.0108273887102223,0.0281996728380958,61.7399998360119,-0.00135787722244622,0.110808023780843,7.71749764754567,0,0
9,-1.48500112457183e-05,-0.0125808367382528,0.030672425720993,69.4574963955485,0.00274009952320731,0.139007696618939,7.71749540445279,0,0
10,-2.11565455607553e-05,-0.014381053452539,0.0329985301092313,77.1749893552194,0.00888299623494717,0.169680122339932,7.71749224255297,11,0.191986217719376
11,-2.90342261149153e-05,-0.0162196843589209,0.0351953895174194,84.892476945317,0.0173571070645734,0.202678652449164,7.71748801007968,11,0.191986217719376
12,-0.000349878090447976,-0.0235775738784306,0.0559458942610391,92.6099570013003,0.0284373247441585,0.237874041966583,7.71718613913638,11,0.191986217719376
13,-0.00162143225673303,-0.0370042944142834,0.0934229199979131,100.327138501398,0.0368990402578293,0.293819936227622,7.71596730099117,11,0.191986217719376
14,-0.00316546676718597,-0.0526793310925606,0.13150513725161,108.04310537638,0.0394630510394428,0.387242856225535,7.71451439836317,11,0.191986217719376
15,-0.0047340439327356,-0.0694772596406413,0.166632675847178,115.757619755848,0.0389231123733708,0.518747993477145,7.71307887828702,11,0.191986217719376
16,-0.00634762583564849,-0.0872184001669603,0.199159534403216,123.470698625968,0.0392780531365854,0.685380669324323,7.71164560822839,11,0.191986217719376
17,-0.00802709381936555,-0.105744092302452,0.229389530133486,131.182342595329,0.0443056492656325,0.884540203727538,7.71019807165744,11,0.191986217719376
18,-0.00979325186930644,-0.12491358215693,0.257582595540028,138.892529223916,0.0575893440329489,1.11392973386102,7.70871887658298,11,0.191986217719376
19,-0.0116664613448816,-0.144601379911418,0.283960382546129,146.60120771796,0.0825411707404553,1.37151232940105,7.70719015494845,11,0.191986217719376
20,-0.0136663693384281,-0.164695025432465,0.308711243243754,154.308294694403,0.12242126697551,1.65547271194718,7.70559388109148,11,0.191986217719376
21,-0.0158117034852135,-0.185093207189155,0.331994652094096,162.013670792894,0.180354341411512,1.96418395519094,7.70391213034134,11,0.191986217719376
22,-0.0181201139181203,-0.205704186945849,0.35394512985681,169.717177970574,0.259343425809444,2.29617860728503,7.70212729333457,11,0.191986217719376
23,-0.0206080489064276,-0.22644448899763,0.374675724542961,177.418617359014,0.362281217293588,2.65012373714184,7.70022225740312,11,0.191986217719376
24,-0.0232906550375875,-0.247237818080353,0.394281099363266,185.117747596313,0.491959289875366,3.0247994616848,7.69818056314582,11,0.191986217719376
25,-0.0261816959686496,-0.268014174581238,0.412840272155356,192.814283572759,0.65107543008884,3.41908056104807,7.69598654180893,11,0.191986217719376
26,-0.0292934860703902,-0.288709139401346,0.430419045321456,200.507895547324,0.842239329749,3.83192083320342,7.69362543720472,11,0.191986217719376
27,-0.0326368369213603,-0.309263303897693,0.447072160073666,208.198208605988,1.06797684931434,4.26233987852488,7.69108351445885,11,0.191986217719376
28,-0.0362210157368018,-0.329621822882984,0.462845203917548,215.88480244243,1.33073304803094,4.70941203859855,7.68834815680223,11,0.191986217719376
29,-0.0400537155553646,-0.349734070801794,0.477776295918326,223.567211447918,1.63287416174014,5.17225724251609,7.68540795083855,11,0.191986217719376
30,-0.0441410374430833,-0.369553383039917,0.491897570463469,231.244925100893,1.97668869565171,5.65003353843442,7.6822527601719,11,0.191986217719376
31,-0.0484874851772722,-0.389036865951444,0.505236477002977,238.917388648255,2.36438778718044,6.14193110889789,7.67887378692845,11,0.191986217719376
32,-0.0530959728968931,-0.408145260683593,0.517816910625674,246.584004070319,2.79810498276546,6.64716758590086,7.67526362052098,11,0.191986217719376
33,-0.0579678460948051,-0.426842847303808,0.5296601863007,254.244131320056,3.27989556209899,7.16498449652654,7.67141627295782,11,0.191986217719376
34,-0.0631029161186232,-0.445097377132213,0.540785868138507,261.897089824992,3.81173553307693,7.69464468282724,7.66732720006533,11,0.191986217719376
35,-0.0684995080733106,-0.462880022583565,0.551212464045446,269.542160237317,4.39552041079109,8.23543055096575,7.66299330815326,11,0.191986217719376
36,-0.0741545217089477,-0.480165335239826,0.560957995584953,277.178586414582,5.0330638838118,8.78664301501119,7.65841294588365,11,0.191986217719376
37,-0.080063504556813,-0.496931204306676,0.570040452629909,284.805577610132,5.72609646073179,9.34760101059615,7.65358588138535,11,0.191986217719376
38,-0.0862207362681547,-0.513158809042747,0.578478142402488,292.422310849364,6.47626417939424,9.91764146322605,7.64851326496606,11,0.191986217719376
