Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (deg),Rudder Angle (rad),OOD Label
1792,-0.470566522995454,0.581708209735726,-0.498041602471715,12616.8269962701,272.695825996435,-6.16608619176688,7.27024272369246,-10,-0.174532925199433,0
1794,-0.476223573169291,0.589867152640366,-0.500402276044967,12631.3576607146,272.237015904819,-7.16339718176775,7.26526169848948,-10,-0.174532925199433,0
1796,-0.482059885910814,0.597320275655131,-0.502401459935846,12645.868868266,271.542362081868,-8.16524427838679,7.26005407392257,-10,-0.174532925199433,0
1798,-0.48804768997586,0.604106994208284,-0.504074163559638,12660.3561999463,270.609970088054,-9.17092224960184,7.25464857614514,-10,-0.174532925199433,0
1800,-0.494160796103832,0.610266927095415,-0.505453355834068,12674.8152068979,269.438284412979,-10.179794885503,7.2490726977214,10,0.174532925199433,0
1802,-0.499895764801026,0.611566651368747,-0.492165150024912,12689.2414234462,268.026069957958,-11.1912908334032,7.24346772375142,10,0.174532925199433,0
1804,-0.504957151767695,0.594216045219388,-0.426264045027916,12703.6287031917,266.356853889292,-12.1485663338301,7.23697913814757,10,0.174532925199433,0
1806,-0.510263558708908,0.561486199163344,-0.332930854926723,12717.9672586456,264.414636890314,-12.951912402595,7.22907489742119,10,0.174532925199433,0
1808,-0.512989133839846,0.526314356039127,-0.257101025449504,12732.2547775181,262.220251651875,-13.5779766189657,7.2237098240442,10,0.174532925199433,0
1810,-0.513586138797336,0.48957752367334,-0.194358053413419,12746.4979647384,259.811150805196,-14.0594009863438,7.22053052561334,10,0.174532925199433,0
1812,-0.512431792376616,0.451876983579801,-0.141385083829125,12760.7034435144,257.218537937554,-14.4205813957747,7.2192243824939,10,0.174532925199433,0
1814,-0.509839500062198,0.413623980390541,-0.0956989311561026,12774.8775711215,254.468906830925,-14.6797263090042,7.21951900610545,10,0.174532925199433,0
1816,-0.506071095610701,0.375097180300499,-0.0554426233423443,12789.0263714638,251.585211281974,-14.850413486314,7.22117751739499,10,0.174532925199433,0
1818,-0.501347855747021,0.336482324709786,-0.01922800667404,12803.1555247289,248.587749011618,-14.9427581043272,7.22399281034034,10,0.174532925199433,0
1820,-0.495859636882547,0.297900297931581,0.0139818724846018,12817.2703820315,245.494828914041,-14.9642872329784,7.22778210253428,10,0.174532925199433,0
1822,-0.489772141211254,0.259427423940407,0.0449599653415147,12831.3759881844,242.323275679683,-14.9205953540659,7.23238222088707,10,0.174532925199433,0
1824,-0.483232552305752,0.221110405543169,0.0742796361137306,12845.4771040367,239.08881262858,-14.8158377183231,7.23764570258921,10,0.174532925199433,0
1826,-0.476373828340332,0.182977478183975,0.10236221486383,12859.5782242857,235.80635307385,-14.6531039446288,7.24343765013665,10,0.174532925199433,0
1828,-0.469317916569453,0.145046828059293,0.12951215368569,12873.6835890413,232.490222498324,-14.4347031916676,7.24963323878482,10,0.174532925199433,0
1830,-0.462178106125765,0.107332987368784,0.155943111240394,12887.797188663,229.154327818105,-14.1623839088951,7.25611577594434,10,0.174532925199433,0
1832,-0.455060688901297,0.0698516943305266,0.181797429090248,12901.9227620294,225.812285564835,-13.8375049860365,7.26277522759672,10,0.174532925199433,0
1834,-0.448066058237111,0.0326235501679762,0.207160825718599,12916.0637887294,222.477517555396,-13.4611705366732,7.26950714489503,10,0.174532925199433,0
1836,-0.44128934451677,-0.0043233044153487,0.232073666152942,12930.2234758419,219.163320232308,-13.0343371517824,7.27621193987151,10,0.174532925199433,0
1838,-0.434820665283243,-0.0409513486494246,0.256539820867069,12944.404740078,215.882912126218,-12.5578999283682,7.2827944708928,10,0.174532925199433,0
1840,-0.428745054039289,-0.0772125865418639,0.280533871055591,12958.610186147,212.649462652131,-12.0327616883275,7.28916390581164,10,0.174532925199433,0
1842,-0.423142125028376,-0.113048141810287,0.30400722123522,12972.8420822864,209.476104587929,-11.4598883927408,7.29523383384846,10,0.174532925199433,0
1844,-0.418085529516183,-0.148388506425683,0.326893524657468,12987.1023339785,206.37593201561,-10.8403527167014,7.30092259654544,10,0.174532925199433,0
1846,-0.413642260825142,-0.183154410871577,0.349113698615392,13001.3924569587,203.361985172797,-10.175367005779,7.30615380431635,10,0.174532925199433,0
1848,-0.409871868964321,-0.217258276415777,0.370580696963241,13015.71355069,200.447223518699,-9.46630633790638,7.31085699902379,10,0.174532925199433,0
1850,-0.406825649437375,-0.250606191858963,0.391204111955152,13030.0662735247,197.644488325877,-8.71472212916435,7.31496841574674,10,0.174532925199433,0
1852,-0.404545873024658,-0.283100332529217,0.410894596276889,13044.4508207855,194.96645622968,-7.92234662016103,7.31843178977053,10,0.174532925199433,0
1854,-0.403065122524297,-0.314641711748558,0.429568030859205,13058.8669069549,192.425585362749,-7.09108863278587,7.32119914929276,10,0.174532925199433,0
1856,-0.402405797479704,-0.345133129233228,0.447149318020477,13073.3137530555,190.034055931361,-6.22302116158499,7.32323153181984,10,0.174532925199433,0
1858,-0.402579838272425,-0.374482161620162,0.463575655934893,13087.7900801345,187.803707310976,-5.32036161965958,7.324499563917,10,0.174532925199433,0
1860,-0.403588706796052,-0.402604031630375,0.478799151176089,13102.2941095225,185.74597390819,-4.38544584968145,7.32498385057205,10,0.174532925199433,0
1862,-0.405423643187598,-0.429424197009412,0.492788650435156,13116.823570249,183.871822118606,-3.42069728773321,7.32467513196538,10,0.174532925199433,0
1864,-0.408066198375842,-0.454880519099197,0.505530716690335,13131.3757136597,182.191690677699,-2.42859288551733,7.32357418116194,10,0.174532925199433,0
1866,-0.411489022531197,-0.478924902278721,0.517029732505163,13145.9473349439,180.715436540925,-1.41162751837455,7.32169143469713,10,0.174532925199433,0
1868,-0.415656871971012,-0.501524336155532,0.527307175249681,13160.5348009522,179.452288142538,-0.372278610162045,7.3190463672599,10,0.174532925199433,0
1870,-0.420527783512284,-0.522661317508675,0.536400166940728,13175.1340834016,178.410807488234,0.687027413556404,7.31566663954923,10,0.174532925199433,0
1872,-0.426054356913047,-0.542333673293231,0.544359447308073,13189.7407963527,177.598862066492,1.76394546280268,7.31158706296242,10,0.174532925199433,0
1874,-0.432185083388233,-0.560553844676697,0.551246947311436,13204.3502367087,177.023607057561,2.85623784364874,7.30684843465278,10,0.174532925199433,0
1876,-0.4388656609323,-0.577347721463704,0.557133149539961,13218.957426441,176.691477820138,3.96179533602595,7.30149630098755,10,0.174532925199433,0
1878,-0.44604024438794,-0.592753134418885,0.562094412773179,13233.5571552837,176.608192182898,5.07865295345857,7.29557970663396,10,0.174532925199433,0
1880,-0.453652588508694,-0.606818119693804,0.566210414050552,13248.1440227494,176.778761691986,6.20500039344448,7.28914998115814,10,0.174532925199433,0
1882,-0.461647054164626,-0.619599066052508,0.569561827960368,13262.7124784824,177.207510685583,7.33918747795124,7.28225960634754,10,0.174532925199433,0
1884,-0.469969459919529,-0.631158844123435,0.572228324969172,13277.2568601582,177.89810188997,8.47972510417607,7.27496119686657,10,0.174532925199433,0
1886,-0.478567772321728,-0.641565000196353,0.574286933352845,13291.7714283526,178.853567154365,9.62528237038881,7.26730661568618,10,0.174532925199433,0
1888,-0.487392637616963,-0.650888077820357,0.575810776357566,13306.2503980039,180.076341951994,10.774680613616,7.25934623512573,-10,-0.174532925199433,0
1890,-0.495273732318904,-0.645989226539596,0.534606584469757,13320.6875747262,181.572630129554,11.9123336515439,7.25105884284413,-10,-0.174532925199433,0
1892,-0.503661961095112,-0.621496874152707,0.446350841588735,13335.0733121933,183.36585970215,12.9425337867099,7.24056058714605,-10,-0.174532925199433,0
1894,-0.510259087451396,-0.590117226684447,0.36312277760409,13349.3976556037,185.455837766335,13.7913173312145,7.231359478877,-10,-0.174532925199433,0
1896,-0.514345421476753,-0.556998882761132,0.295923040279603,13363.6642586499,187.8064010267,14.4822392762574,7.22465802910405,-10,-0.174532925199433,0
1898,-0.516349469159851,-0.522895499575096,0.240711397891456,13377.879260435,190.383339847321,15.0451904683242,7.22011001794954,-10,-0.174532925199433,0
1900,-0.516623370033831,-0.488318848812004,0.194466193049083,13392.0486728254,193.158288227147,15.5025262820317,7.21741501772608,-10,-0.174532925199433,0
1902,-0.515455999434569,-0.453613515412702,0.154930840339701,13406.1782406076,196.107300081713,15.8709690867329,7.21631505738528,-10,-0.174532925199433,0
1904,-0.513085665336466,-0.419007098763947,0.120419390114248,13420.2733981007,199.209774006275,16.1630344095359,7.2165887269762,-10,-0.174532925199433,0
1906,-0.509710985349724,-0.384644855534267,0.0896705360128545,13434.3392725198,202.447644046074,16.3880938598775,7.21804503619936,-10,-0.174532925199433,0
1908,-0.505499688247566,-0.350614138876811,0.0617392140824528,13448.3807075641,205.804770213822,16.5531661410219,7.22051790186116,-10,-0.174532925199433,0
1910,-0.500595529993756,-0.316961944807523,0.0359165351752313,13462.4022934129,209.266477924292,16.6635064609955,7.22386150224741,-10,-0.174532925199433,0
1912,-0.495123644438088,-0.283707682214596,0.0116707429670318,13476.4083962023,212.819208278194,16.7230471171071,7.22794647671988,-10,-0.174532925199433,0
1914,-0.489194649325791,-0.250852563174553,-0.011396347190225,13490.4031837346,216.450251038013,16.7347283326843,7.23265685976022,-10,-0.174532925199433,0
1916,-0.482907782996503,-0.218386561400293,-0.0335815484143325,13504.3906461108,220.147539592295,16.700748091506,7.2378876225407,-10,-0.174532925199433,0
1918,-0.476353292228261,-0.186293596841619,-0.0551041700189805,13518.3746109648,223.899492719762,16.6227520601813,7.24354270696996,-10,-0.174532925199433,0
1920,-0.469614241211753,-0.154555411031395,-0.0761237695442857,13532.3587534614,227.694892013263,16.5019790684555,7.24953345723189,-10,-0.174532925199433,0
1922,-0.462767869980378,-0.123154464743395,-0.0967534112916427,13546.3466014417,231.522786788077,16.3393735047393,7.25577737396382,-10,-0.174532925199433,0
1924,-0.455886598099378,-0.092076095661628,-0.117069621682145,13560.3415361788,235.372420470347,16.1356729730397,7.26219713351648,-10,-0.174532925199433,0
1926,-0.449038744905946,-0.0613101061500243,-0.13711991893533,13574.3467892309,239.233174054412,15.8914773458315,7.2687198285475,-10,-0.174532925199433,0
1928,-0.442289019623833,-0.0308519017995584,-0.156928567739976,13588.3654358669,243.094523388547,15.6073037148749,7.27527639673096,-10,-0.174532925199433,0
1930,-0.435698821873693,-0.0007032650725154,-0.176501044334739,13602.4003855298,246.946007908993,15.2836305297161,7.28180121208643,-10,-0.174532925199433,0
1932,-0.429326384310114,0.0291271782828416,-0.195827575942568,13616.4543697932,250.777209072351,14.9209333080821,7.28823181882635,-10,-0.174532925199433,0
1934,-0.423226783410322,0.0586237615113882,-0.21488602795595,13630.5299282599,254.577737193311,14.5197136229824,7.29450879111618,-10,-0.174532925199433,0
1936,-0.417451841075557,0.0877638223909618,-0.233644343425038,13644.6293928639,258.337225719072,14.0805225612086,7.30057570408915,-10,-0.174532925199433,0
1938,-0.412049938074925,0.116517974689414,-0.252062685701012,13658.7548710428,262.045332192985,13.6039794672351,7.30637920215662,-10,-0.174532925199433,0
1940,-0.407065759941642,0.144850592035909,-0.270095391962996,13672.9082282722,265.691745299437,13.0907865074843,7.31186915037672,-10,-0.174532925199433,0
1942,-0.402539996255187,0.172720490945821,-0.287692809746495,13687.0910704657,269.266197456168,12.5417393930595,7.31699885365434,-10,-0.174532925199433,0
1944,-0.398509014877271,0.200081797027189,-0.30480305859542,13701.3047267649,272.75848244239,11.9577344704375,7.32172532712129,-10,-0.174532925199433,0
1946,-0.395004533252609,0.226884973441536,-0.321373733577413,13715.5502332473,276.158477532805,11.339772318599,7.32600959948249,-10,-0.174532925199433,0
1948,-0.392053308975896,0.253077984303956,-0.337353546303475,13729.8283180802,279.456169559748,10.6889579686808,7.32981702972014,-10,-0.174532925199433,0
1950,-0.389676871162904,0.278607558795582,-0.352693882403142,13744.1393886264,282.641684258994,10.0064978798691,7.33311761663059,-10,-0.174532925199433,0
1952,-0.387891312530908,0.303420515290356,-0.367350242487271,13758.483520973,285.705318180053,9.29369385392881,7.33588628050636,-10,-0.174532925199433,0
1954,-0.386707159387666,0.327465099711807,-0.381283526863089,13772.8604522949,288.637572369818,8.55193414075188,7.33810309708867,-10,-0.174532925199433,0
1956,-0.386129332973361,0.350692289460809,-0.394461122850599,13787.269576391,291.429186979529,7.78268206814896,7.33975346583425,-10,-0.174532925199433,0
1958,-0.386157210954646,0.373057014198518,-0.406857757345538,13801.7099426327,294.071175908224,6.98746261014477,7.34082819757621,-10,-0.174532925199433,0
1960,-0.386784792613746,0.394519247830325,-0.41845608570844,13816.1802584603,296.554860588559,6.1678473790526,7.34132351069701,-10,-0.174532925199433,0
1962,-0.388000965779026,0.415044932160651,-0.429247000117033,13830.6788954427,298.871902047636,5.32543857879045,7.34124092973105,-10,-0.174532925199433,0
1964,-0.389789868223966,0.434606701461121,-0.43922965482355,13845.2038987975,301.014330438045,4.46185248365932,7.3405870855326,-10,-0.174532925199433,0
1966,-0.392131331530116,0.453184387896658,-0.448411220725922,13859.7530001568,302.974571330874,3.57870300441792,7.33937342137825,-10,-0.174532925199433,0
1968,-0.395001391619444,0.470765299457846,-0.456806395701318,13874.3236332568,304.745468188333,2.67758587144085,7.33761581420756,-10,-0.174532925199433,0
1970,-0.39837284756469,0.487344273744611,-0.464436708868072,13888.9129521519,306.32030058138,1.7600639056268,7.33533412426915,-10,-0.174532925199433,0
1972,-0.402215849007759,0.50292352167811,-0.471329665311329,13903.517851483,307.692797878221,0.827653766741564,7.33255168944723,-10,-0.174532925199433,0
1974,-0.406498492546591,0.517512284193805,-0.477517782273834,13918.1349883,308.857148292888,-0.118185526925775,7.32929478232916,-10,-0.174532925199433,0
1976,-0.411187408659662,0.531126331646195,-0.483037568317808,13932.7608049189,309.808003339613,-1.07606211645084,7.32559204860237,-10,-0.174532925199433,0
1978,-0.416248322899962,0.543787339775648,-0.487928493892192,13947.3915523099,310.540477880081,-2.04465876844781,7.32147394472291,-10,-0.174532925199433,0
1980,-0.421646577925717,0.555522177667939,-0.492231995810084,13962.0233135399,311.050146070228,-3.02273829447775,7.31697219116445,-10,-0.174532925199433,0
1982,-0.427347606144217,0.56636214242721,-0.495990550263703,13976.6520268449,311.333033606961,-4.00914700989418,7.31211925518286,-10,-0.174532925199433,0
1984,-0.433317346044997,0.576342172698131,-0.499246840135246,13991.2735079628,311.385606741043,-5.00281638321471,7.30694787419545,-10,-0.174532925199433,0
1986,-0.439522598449485,0.585500069218142,-0.502043033382811,14005.8834714275,311.204758560863,-6.00276307409902,7.30149062784678,-10,-0.174532925199433,0
1988,-0.445931321724118,0.593875745779892,-0.504420180909813,14020.4775505907,310.787793064899,-7.00808758727331,7.29577956385118,-10,-0.174532925199433,0
1990,-0.452512867374862,0.601510528823582,-0.506417735075403,14035.0513162056,310.132407532007,-8.0179717827693,7.28984587995483,-10,-0.174532925199433,0
1992,-0.459238159305397,0.608446518768297,-0.50807318416819,14049.6002934689,309.236673672257,-9.03167548205594,7.28371966197798,-10,-0.174532925199433,0
1994,-0.466079821372718,0.614726021442251,-0.509421793848077,14064.1199774724,308.099018001513,-10.0485323979381,7.27742967595298,10,0.174532925199433,0
1996,-0.47252468811328,0.616046939641186,-0.495850977284,14078.6058470623,306.718201834674,-11.0679455965049,7.27111965942587,10,0.174532925199433,0
1998,-0.478265643574975,0.598395335289534,-0.428862904936757,14093.0517109993,305.07750602618,-12.0321298726396,7.26392394264565,10,0.174532925199433,0
2000,-0.484228662305941,0.565106590349517,-0.33415127882546,14107.4476909913,303.160758165213,-12.8399218985472,7.25531251588537,10,0.174532925199433,0
2002,-0.487543299853681,0.52934013330659,-0.257354857867754,14121.7914501194,300.989268972111,-13.4679022605274,7.24930857825211,10,0.174532925199433,0
2004,-0.488676631321759,0.491998113215386,-0.193916134799775,14136.0897839716,298.60119387072,-13.9494594101287,7.24554686955761,10,0.174532925199433,0
2006,-0.488017344666209,0.453696499698578,-0.140422837916481,14150.3494076273,296.028272631199,-14.3094784826947,7.24370485163572,10,0.174532925199433,0
2008,-0.485887703190347,0.414854754981602,-0.0943280375156471,14164.5767650401,293.297421187808,-14.5664836637436,7.24350197619214,10,0.174532925199433,0
2010,-0.482556464294047,0.375755748237342,-0.0537326814839658,14178.7779595164,290.43193796515,-14.7342528208853,7.24469463450232,10,0.174532925199433,0
2012,-0.478250432551649,0.336586972126803,-0.017221233385088,14192.9587430597,287.452412812758,-14.8230251417235,7.24707010381483,10,0.174532925199433,0
2014,-0.473163996154391,0.297469630542101,0.0162607049647292,14207.1245312982,284.377411304159,-14.8404023958608,7.25044083609463,10,0.174532925199433,0
2016,-0.467466678807403,0.258479613335533,0.0474968064974937,14221.2804266165,281.223990942004,-14.7920225634044,7.25463954093607,10,0.174532925199433,0
2018,-0.461308974485811,0.219662891183888,0.0770665926432003,14235.4312407243,278.008091836554,-14.682065450736,7.25951513425765,10,0.174532925199433,0
