Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (deg),Rudder Angle (rad),OOD Label
29,-0.0342218086088658,-0.326441937893889,0.444223196549919,223.600829419616,1.58857268320063,4.86454273823722,7.69020988693563,10,0.174532925199433,0
30,-0.037724997480656,-0.344865603814301,0.457429663197177,231.284114558136,1.91485106941959,5.30876593478714,7.68751431699579,10,0.174532925199433,0
31,-0.0414540990470842,-0.363010449107613,0.469964279698059,238.962855558129,2.28202000743684,5.76619559798432,7.68462473122126,10,0.174532925199433,0
32,-0.0454123004402014,-0.3808428261179,0.481849080157815,246.636533291352,2.69205330648969,6.23615987768237,7.68153441233861,10,0.174532925199433,0
33,-0.0496015445990766,-0.398331992968758,0.49310332295788,254.304591949175,3.14685804274652,6.71800895784019,7.6782377599917,10,0.174532925199433,0
34,-0.054022551567847,-0.415450018323443,0.503744217533034,261.966440101557,3.64827402655045,7.21111228079807,7.67473030929121,10,0.174532925199433,0
35,-0.0586748488449924,-0.432171708594844,0.513787543207324,269.621451948235,4.1980730330657,7.7148564983311,7.67100873951231,10,0.174532925199433,0
36,-0.0635568106691681,-0.448474550099219,0.52324816886683,277.268968751323,4.7979578788147,8.22864404153843,7.6670708727382,10,0.174532925199433,0
37,-0.0686657059338871,-0.464338659661111,0.532140481603247,284.908300436384,5.44956141871959,8.75189221040526,7.66291566239233,10,0.174532925199433,0
38,-0.0739977542273345,-0.479746738171959,0.540478732042553,292.538727346982,6.15444553044253,9.28403269200851,7.65854317177349,10,0.174532925199433,0
39,-0.0795481893066622,-0.49468402257783,0.548277303821111,300.159502135709,6.91410014500539,9.82451142405106,7.65395454289268,10,0.174532925199433,0
40,-0.0853113291482043,-0.509138232713936,0.555550914532595,307.769851772924,7.72994237485111,10.3727887278722,7.64915195609877,-10,-0.174532925199433,0
41,-0.0912806515740284,-0.523099510303583,0.56231475539214,315.368979653013,8.60331578271034,10.9283396424048,7.6441385811605,-10,-0.174532925199433,0
42,-0.0967703098485291,-0.531275752930641,0.550708401391164,322.956067776878,9.53548982691372,11.4906543977969,7.63922606917796,-10,-0.174532925199433,0
43,-0.102181143768652,-0.533204312327743,0.522434840004367,330.529891218779,10.5329733640808,12.0413627991881,7.6339628058275,-10,-0.174532925199433,0
44,-0.107895108531554,-0.52860963800179,0.47930069329697,338.08888802351,11.6001919109668,12.5637976391924,7.62794302244379,-10,-0.174532925199433,0
45,-0.114289630481168,-0.51738288121179,0.423181444419489,345.631263006311,12.7395313566418,13.0430983324894,7.62079346058727,-10,-0.174532925199433,0
46,-0.120009079311275,-0.504624244305103,0.373185719810075,353.155079948578,13.9514189703178,13.4662797769089,7.61423101290525,-10,-0.174532925199433,0
47,-0.125102369091035,-0.490613540794323,0.328486618059504,360.661207514929,15.2299192149631,13.839465496719,7.60823260897318,-10,-0.174532925199433,0
48,-0.129617925824279,-0.475582590968136,0.288362140987636,368.15055181955,16.5696674447021,14.1679521147785,7.60277141392724,-10,-0.174532925199433,0
49,-0.133602431194033,-0.459723714022181,0.252184427384183,375.624034817247,17.9657996216703,14.4563142557661,7.59781864928187,-10,-0.174532925199433,0
50,-0.137100118817946,-0.443196623718406,0.219409176276012,383.082579257015,19.4138890758725,14.7084986831503,7.59334482332393,-10,-0.174532925199433,0
51,-0.140152438263468,-0.426134043148565,0.189565645868796,390.527098459552,20.9098902285996,14.9279078594263,7.58932054232029,-10,-0.174532925199433,0
52,-0.142797957682379,-0.408646293290194,0.162247442817106,397.95848960008,22.4500889205094,15.1174735052951,7.58571702760593,-10,-0.174532925199433,0
53,-0.145072415940823,-0.390825058548609,0.137104198177513,405.377629507159,24.0310588323371,15.2797209481122,7.58250642876152,-10,-0.174532925199433,0
54,-0.147008863568899,-0.372746490440228,0.113834148494664,412.785372241914,25.6496234179802,15.4168251462897,7.57966199727385,-10,-0.174532925199433,0
55,-0.148637851863396,-0.354473776966687,0.092177591884194,420.182547915168,27.3028227562138,15.5306592947844,7.57715816622908,-10,-0.174532925199433,0
56,-0.149987643411434,-0.336059278691979,0.0719111609147887,427.569962345285,28.9878847472821,15.6228368866686,7.57497056799006,-10,-0.174532925199433,0
57,-0.15108442690863,-0.317546311716513,0.0528428399303955,434.948397268106,30.7022001195574,15.6947480475834,7.57307601208415,-10,-0.174532925199433,0
58,-0.151952525695007,-0.298970641452918,0.0348076493836386,442.318610890894,32.4433007597493,15.7475908875138,7.5714524386285,-10,-0.174532925199433,0
59,-0.15261459384096,-0.28036173836064,0.017663920380868,449.681338641669,34.2088409315904,15.7823985368974,7.57007885775668,-10,-0.174532925199433,0
60,-0.153091796537078,-0.261743836797637,0.00129008663587053,457.037294008918,35.9965809987397,15.8000624572783,7.56893528210664,-10,-0.174532925199433,0
61,-0.153403973437889,-0.24313683027568,-0.0144180731709009,464.387169398592,37.8043733156233,15.8013525439141,7.56800265706145,-10,-0.174532925199433,0
62,-0.153569784805554,-0.224557030178819,-0.029549803047502,471.731636958478,39.630149993934,15.7869344707432,7.56726279179825,-10,-0.174532925199433,0
63,-0.153606841022332,-0.206017810051667,-0.0441814010558038,479.071349336857,41.4719122920627,15.7573846676957,7.5666982930792,-10,-0.174532925199433,0
64,-0.153531816448069,-0.187530153601418,-0.058377961602998,486.406940354427,43.3277214097905,15.7132032666399,7.5662925029565,-10,-0.174532925199433,0
65,-0.15336054879987,-0.169103121367586,-0.0721948698543684,493.739025577159,45.1956905013116,15.6548253050369,7.56602944105153,-10,-0.174532925199433,0
66,-0.153108125300063,-0.150744248430073,-0.0856790840024519,501.068202783895,47.0739777464153,15.5826304351826,7.56589375172961,-10,-0.174532925199433,0
67,-0.152788956826266,-0.132459883421705,-0.0988702362604937,508.395052326823,48.9607803428101,15.4969513511801,7.56587065627154,-10,-0.174532925199433,0
68,-0.152416841237867,-0.114255477387553,-0.111801579162249,515.72013738603,50.8543293025208,15.3980811149196,7.56594591000355,-10,-0.174532925199433,0
69,-0.15200501696904,-0.0961358296142276,-0.124500800009779,523.044004121391,52.7528849524188,15.2862795357574,7.56610576426224,-10,-0.174532925199433,0
70,-0.151566207884325,-0.078105296378926,-0.136990723067474,530.367181726502,54.6547330536097,15.1617787357476,7.56633693302118,-10,-0.174532925199433,0
71,-0.151112660297992,-0.060167967594184,-0.149289916300831,537.690182390288,56.558181466937,15.0247880126801,7.56662656397996,-10,-0.174532925199433,0
72,-0.150656172968642,-0.042327815513959,-0.161413217048965,545.013501172588,58.4615573025358,14.8754980963793,7.56696221390386,-10,-0.174532925199433,0
73,-0.150208120798833,-0.0245888189912593,-0.173372188949688,552.337615800395,60.3632045004621,14.7140848793303,7.56733182799878,-10,-0.174532925199433,0
74,-0.149779472897711,-0.00695506621439482,-0.185175520658336,559.662986391703,62.2614817971305,14.5407126903806,7.56772372310666,-10,-0.174532925199433,0
75,-0.149380805602955,0.0105691616200369,-0.196829375374411,566.990055114068,64.1547610388204,14.3555371697223,7.56812657450827,-10,-0.174532925199433,0
76,-0.149022311006834,0.0279793236286586,-0.208337698876382,574.319245785124,66.0414258090114,14.1587077943479,7.56852940612231,-10,-0.174532925199433,0
77,-0.148713801489033,0.0452705678100632,-0.219702492632276,581.65096342234,67.9198703409273,13.9503700954715,7.56892158389027,-10,-0.174532925199433,0
78,-0.148464710725327,0.062437693376905,-0.230924057574179,588.985593749369,69.7884986905195,13.7306676028392,7.56929281213507,-10,-0.174532925199433,0
79,-0.148284091615091,0.0794751255806199,-0.242001213274646,596.323502666408,71.6457241483132,13.4997435452651,7.56963313267778,-10,-0.174532925199433,0
80,-0.148180611550873,0.0963769019278038,-0.252931496522329,603.665035691984,73.4899688711515,13.2577423319904,7.56993292649129,-10,-0.174532925199433,0
81,-0.148162545438673,0.113136668819331,-0.263711342645972,611.010517383656,75.3196637169884,13.0048108354681,7.57018291766167,-10,-0.174532925199433,0
82,-0.148237766866947,0.129747687742693,-0.274336252366707,618.360250745132,77.1332482675599,12.7410994928221,7.57037417941867,-10,-0.174532925199433,0
83,-0.148413737814542,0.14620285021928,-0.284800946456827,625.71451662729,78.9291710250674,12.4667632404554,7.57049814198622,-10,-0.174532925199433,0
84,-0.148697497281614,0.162494700755495,-0.295099510040102,633.073573130625,80.7058897699822,12.1819622939986,7.57054660199181,-10,-0.174532925199433,0
85,-0.149095649222,0.178615467073613,-0.305225527977036,640.43765501656,82.4618720677793,11.8868627839585,7.57051173316265,-10,-0.174532925199433,0
86,-0.149614350149501,0.194557096908728,-0.315172212432881,647.806973135011,84.1955959128679,11.5816372559814,7.57038609802503,-10,-0.174532925199433,0
87,-0.150259296783151,0.2103113006556,-0.324932523422608,655.181713875479,85.9055504982464,11.2664650435486,7.57016266031353,-10,-0.174532925199433,0
88,-0.151035714086935,0.225869599137065,-0.334499282862465,662.562038648761,87.5902370995122,10.9415325201259,7.56983479778867,-10,-0.174532925199433,0
89,-0.151948344046959,0.2412233757473,-0.343865282430109,669.948083406159,89.2481700618251,10.6070332372635,7.56939631515623,-10,-0.174532925199433,0
