Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad)
0,0.0,0.0,0.0,0.0,0.0,45.612,7.7175,0.0
4,-1.3992e-06,-0.0047123,0.015852,21.596,22.059,45.646,7.7175,-2.3265e-05
8,-1.4219e-05,-0.011792,0.029446,43.184,44.124,45.737,7.7175,-0.0032655
12,-0.00017567,-0.01513,0.025605,64.748,66.214,45.867,7.7173,0.053689
16,-0.00027044,-0.020982,0.034848,86.273,88.341,45.986,7.7173,0.015797
20,-0.00053247,-0.017268,0.017372,107.75,110.51,46.088,7.717,0.026629
24,-0.00090201,-0.013024,0.0046742,129.2,132.71,46.157,7.7166,0.090272
28,-0.0014256,-0.0044016,-0.0035279,150.6,154.95,46.116,7.7161,-0.039407
32,-0.001617,0.00054147,-0.0072244,172.0,177.19,46.098,7.7159,0.010022
36,-0.001725,0.0061655,-0.011971,193.4,199.43,46.058,7.7158,0.02053
40,-0.0018047,0.0066976,-0.0065218,214.81,221.66,46.041,7.7157,0.059312
44,-0.0017927,0.0054112,0.002708,236.22,243.89,46.029,7.7157,0.015436
48,-0.001774,0.002867,0.010685,257.63,266.12,46.043,7.7157,-0.018197
52,-0.0018964,0.0049838,-0.00040485,279.03,288.35,46.077,7.7156,0.046131
56,-0.00193,0.006832,-0.003036,300.43,310.6,46.072,7.7156,0.036899
60,-0.0020115,0.010901,-0.010311,321.82,332.84,46.048,7.7155,0.039573
64,-0.0020367,0.013684,-0.01046,343.21,355.09,46.001,7.7155,0.016525
68,-0.0020255,0.014087,-0.0057523,364.61,377.32,45.961,7.7155,-3.7389e-06
72,-0.0022038,0.017491,-0.010768,386.03,399.55,45.913,7.7153,-0.012676
76,-0.0022439,0.019294,-0.01289,407.45,421.76,45.872,7.7153,0.025628
80,-0.0024131,0.017807,-0.0090917,428.9,443.95,45.855,7.7151,0.079209
84,-0.0024351,0.017018,-0.0034843,450.35,466.14,45.816,7.7151,0.0053161
88,-0.0024161,0.016827,-0.0052453,471.81,488.31,45.805,7.7151,0.028867
92,-0.0025396,0.020038,-0.011223,493.28,510.48,45.755,7.715,-0.0058942
96,-0.0025029,0.01593,-0.0010444,514.76,532.63,45.748,7.715,0.036806
100,-0.0027643,0.022846,-0.019016,536.25,554.79,45.694,7.7148,0.016557
104,-0.0027735,0.02143,-0.011668,557.75,576.92,45.65,7.7148,0.048724
108,-0.0027171,0.01859,-0.0020408,579.27,599.04,45.616,7.7148,0.0073806
112,-0.0028036,0.020394,-0.0080752,600.8,621.14,45.584,7.7147,-0.0047446
116,-0.0027944,0.020198,-0.0092449,622.35,643.23,45.562,7.7147,0.039267
120,-0.0027999,0.019129,-0.0071595,643.91,665.31,45.539,7.7147,0.04679
124,-0.002803,0.01743,-0.0042001,665.47,687.39,45.525,7.7147,0.04494
128,-0.0029544,0.019053,-0.011847,687.05,709.45,45.511,7.7146,0.076351
132,-0.0030531,0.020877,-0.0099299,708.62,731.51,45.442,7.7145,-0.016329
136,-0.0030112,0.019292,-0.0068959,730.22,753.55,45.423,7.7145,0.034987
140,-0.0030071,0.017624,-0.0005155,751.83,775.58,45.389,7.7145,-0.023466
144,-0.0030191,0.017636,-0.0043433,773.45,797.59,45.38,7.7145,0.0095695
148,-0.0029444,0.015983,-0.0021422,795.08,819.6,45.372,7.7146,0.024831
152,-0.0028687,0.013924,0.0021042,816.72,841.61,45.364,7.7146,-0.00036767
