Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad)
0,0.0,0.0,0.0,0.0,0.0,31.694,7.7175,0.0
4,-1.4019e-06,-0.004718,0.015865,26.267,16.217,31.728,7.7175,-6.7484e-07
8,-1.2441e-05,-0.010851,0.027142,52.529,32.443,31.814,7.7175,-0.0011586
12,-7.9683e-05,-0.018696,0.039633,78.774,48.696,31.937,7.7174,-0.029452
16,-0.00025521,-0.020524,0.03047,104.99,64.992,32.083,7.7173,0.019314
20,-0.00051377,-0.016877,0.014308,131.17,81.345,32.181,7.717,0.052228
24,-0.00071663,-0.01348,0.0075896,157.32,97.744,32.234,7.7168,0.058694
28,-0.0010005,-0.0048943,-0.0061129,183.45,114.18,32.224,7.7165,0.020781
32,-0.0011117,0.00080978,-0.0089142,209.57,130.62,32.19,7.7164,0.018022
36,-0.0011409,0.0036298,-0.005752,235.69,147.07,32.159,7.7164,0.015234
40,-0.0013096,0.0065837,-0.0038949,261.81,163.51,32.12,7.7162,-0.026049
44,-0.0014107,0.0084416,-0.0068721,287.94,179.94,32.115,7.7161,0.044527
48,-0.0013933,0.0070226,0.0019446,314.07,196.37,32.102,7.7161,0.013122
52,-0.0014247,0.0050749,0.0085546,340.2,212.8,32.107,7.7161,-0.023545
56,-0.0014832,0.0051584,0.0035254,366.32,229.23,32.14,7.716,0.026953
60,-0.0015175,0.0065912,-0.00061217,392.45,245.67,32.147,7.716,0.028716
64,-0.0018333,0.013605,-0.018606,418.56,262.12,32.126,7.7157,0.079603
68,-0.002003,0.014605,-0.006722,444.67,278.57,32.043,7.7155,-0.037087
72,-0.0023285,0.021106,-0.023389,470.8,294.99,32.002,7.7152,0.058041
76,-0.0023947,0.018191,-0.0076449,496.94,311.39,31.949,7.7151,0.040701
80,-0.0024042,0.019151,-0.0080023,523.09,327.78,31.908,7.7151,0.0065448
84,-0.0023826,0.018001,-0.0060923,549.26,344.15,31.891,7.7151,0.036983
88,-0.002405,0.016689,-0.0046076,575.43,360.5,31.881,7.7151,0.048908
92,-0.0024332,0.018243,-0.007618,601.6,376.86,31.845,7.7151,0.0098281
96,-0.0024304,0.01823,-0.0058149,627.78,393.2,31.81,7.7151,-0.0026712
100,-0.002546,0.021501,-0.016105,653.97,409.52,31.779,7.715,0.051097
104,-0.0025395,0.018747,-0.0022602,680.16,425.83,31.725,7.715,-0.019979
108,-0.0026112,0.02037,-0.010577,706.37,442.12,31.709,7.7149,0.0341
112,-0.0025878,0.020162,-0.0088695,732.59,458.4,31.673,7.7149,0.03045
116,-0.0025391,0.018588,-0.0033554,758.82,474.66,31.641,7.715,0.0010646
120,-0.0025329,0.018729,-0.0058588,785.05,490.91,31.622,7.715,0.013179
124,-0.0025382,0.018974,-0.0059917,811.29,507.15,31.589,7.715,-0.0015983
128,-0.002606,0.021566,-0.013182,837.54,523.38,31.551,7.7149,0.021066
132,-0.002589,0.019877,-0.0077904,863.8,539.59,31.521,7.7149,0.040997
136,-0.0025604,0.019154,-0.0060918,890.07,555.78,31.494,7.715,0.026761
140,-0.0025455,0.015371,0.0048969,916.35,571.96,31.473,7.715,-0.028853
144,-0.0026479,0.015265,-5.6233e-05,942.64,588.13,31.476,7.7149,-0.010764
148,-0.002632,0.013892,0.0012772,968.93,604.29,31.472,7.7149,-0.0064256
152,-0.0027044,0.01269,-0.0020557,995.22,620.45,31.495,7.7148,0.065085
156,-0.0028762,0.01808,-0.013176,1021.5,636.61,31.445,7.7146,0.0052217
160,-0.0028185,0.014705,-0.0022245,1047.8,652.76,31.428,7.7147,0.034624
164,-0.0029584,0.017258,-0.012065,1074.1,668.9,31.417,7.7146,0.072738
168,-0.0029345,0.013485,0.0026837,1100.4,685.03,31.388,7.7146,0.002467
172,-0.0028808,0.012656,0.00082269,1126.7,701.15,31.395,7.7146,0.015276
176,-0.0029519,0.013957,-0.006917,1153.0,717.27,31.4,7.7146,0.06288
180,-0.0029099,0.01206,0.001891,1179.4,733.39,31.376,7.7146,-0.0047517
184,-0.0028769,0.011914,-0.00032305,1205.7,749.49,31.379,7.7146,0.01165
188,-0.0028052,0.0097184,0.0028525,1232.0,765.6,31.392,7.7147,0.031466
192,-0.0027925,0.0047265,0.01559,1258.3,781.71,31.41,7.7147,-0.070737
196,-0.0053619,-0.039625,0.11835,1284.7,797.78,31.67,7.7122,-0.14683
200,-0.011463,-0.11054,0.23935,1311.0,813.87,32.383,7.7068,-0.2037
204,-0.018236,-0.18457,0.31806,1337.1,830.11,33.527,7.7015,-0.12524
208,-0.024997,-0.24617,0.35224,1363.1,846.7,34.882,7.6964,-0.095101
212,-0.031302,-0.27896,0.32254,1388.7,863.73,36.246,7.6913,-0.012284
216,-0.037548,-0.27966,0.25075,1414.0,881.25,37.391,7.685,0.043062
220,-0.042471,-0.26715,0.19658,1438.9,899.23,38.261,7.6797,0.010289
224,-0.046047,-0.25061,0.16049,1463.5,917.58,38.962,7.6755,0.014555
228,-0.048273,-0.24231,0.16067,1487.9,936.25,39.59,7.6731,-0.02063
232,-0.050377,-0.24417,0.18141,1512.1,955.19,40.265,7.671,-0.047334
236,-0.053551,-0.26178,0.22618,1536.0,974.4,41.09,7.6684,-0.047759
240,-0.057412,-0.27985,0.25312,1559.6,993.92,42.044,7.6652,-0.06692
244,-0.061913,-0.29468,0.26058,1583.0,1013.8,43.088,7.6613,-0.010921
248,-0.066292,-0.29638,0.23919,1606.0,1034.0,44.092,7.6569,0.015505
252,-0.07014,-0.28993,0.21297,1628.6,1054.7,44.995,7.6529,0.02421
256,-0.073525,-0.27058,0.1701,1650.9,1075.7,45.748,7.6488,0.025441
260,-0.075395,-0.25584,0.15472,1672.8,1096.9,46.404,7.6464,0.047368
264,-0.076775,-0.23537,0.12847,1694.5,1118.5,46.973,7.6443,0.06057
268,-0.077151,-0.22621,0.13708,1715.9,1140.3,47.511,7.6437,0.040015
272,-0.077294,-0.21896,0.14189,1737.1,1162.4,48.065,7.6433,0.0076904
276,-0.077401,-0.21292,0.14153,1758.1,1184.6,48.64,7.6431,0.027528
280,-0.077364,-0.20879,0.14377,1778.8,1207.1,49.214,7.643,0.021544
284,-0.077367,-0.19642,0.12301,1799.3,1229.8,49.744,7.6427,0.028307
288,-0.076996,-0.18644,0.11299,1819.5,1252.7,50.234,7.6428,0.070603
292,-0.076359,-0.17035,0.095005,1839.5,1275.8,50.626,7.643,0.0012591
296,-0.075609,-0.15042,0.067136,1859.3,1299.1,50.96,7.6434,0.067484
300,-0.07402,-0.13421,0.05887,1879.0,1322.5,51.209,7.6447,0.043615
304,-0.072623,-0.11304,0.038689,1898.5,1346.1,51.381,7.6457,0.0012372
308,-0.070405,-0.10441,0.048595,1917.9,1369.8,51.565,7.6478,0.029596
312,-0.068488,-0.090005,0.034171,1937.2,1393.5,51.735,7.6495,0.052685
316,-0.066248,-0.080415,0.035837,1956.3,1417.3,51.868,7.6517,0.018147
320,-0.064139,-0.070365,0.028614,1975.5,1441.3,52.006,7.6537,0.050782
324,-0.061955,-0.06196,0.026405,1994.5,1465.2,52.118,7.6558,0.040141
328,-0.060206,-0.046017,0.0020227,2013.4,1489.3,52.184,7.6574,0.076622
332,-0.05813,-0.033074,-0.0032377,2032.4,1513.4,52.165,7.6594,0.016628
336,-0.056153,-0.020263,-0.011904,2051.2,1537.5,52.128,7.6614,0.018054
340,-0.054198,-0.0088898,-0.020253,2070.1,1561.7,52.078,7.6633,0.066896
344,-0.052094,-0.0031913,-0.011247,2089.0,1585.8,52.005,7.6654,0.01063
348,-0.050399,0.0086205,-0.027644,2107.9,1610.0,51.929,7.6671,0.044496
352,-0.048476,0.014343,-0.023664,2126.8,1634.2,51.828,7.669,0.033809
356,-0.046723,0.019822,-0.022024,2145.7,1658.3,51.72,7.6708,-0.0088228
360,-0.04509,0.026203,-0.029674,2164.7,1682.4,51.626,7.6725,0.042656
364,-0.043466,0.031223,-0.029418,2183.6,1706.5,51.498,7.6741,0.0096061
368,-0.041888,0.034929,-0.030195,2202.7,1730.6,51.382,7.6757,0.028104
372,-0.040413,0.038976,-0.031875,2221.7,1754.7,51.251,7.6772,0.015043
376,-0.039149,0.045474,-0.042828,2240.9,1778.7,51.114,7.6785,0.060467
380,-0.03785,0.049503,-0.041552,2260.0,1802.7,50.942,7.6798,0.030639
384,-0.036568,0.050885,-0.038048,2279.3,1826.7,50.792,7.6811,0.043668
388,-0.035424,0.055077,-0.043456,2298.6,1850.6,50.63,7.6823,0.039736
392,-0.034371,0.049375,-0.025518,2317.9,1874.5,50.514,7.6833,0.06392
396,-0.033297,0.051271,-0.030263,2337.3,1898.3,50.384,7.6844,0.0011743
400,-0.032357,0.05415,-0.035822,2356.8,1922.1,50.239,7.6853,-0.0075588
404,-0.031311,0.053986,-0.032682,2376.3,1945.8,50.097,7.6864,-0.00029631
408,-0.030264,0.053423,-0.031631,2395.9,1969.5,49.972,7.6874,0.021588
412,-0.029348,0.053053,-0.028672,2415.6,1993.2,49.834,7.6883,-0.019942
