Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad)
0,0.0,0.0,0.0,0.0,0.0,31.596,7.7175,0.0
4,-1.4001e-06,-0.0047117,0.015849,26.295,16.171,31.629,7.7175,5.309e-06
8,-4.5461e-05,-0.013635,0.035103,52.586,32.351,31.724,7.7175,-0.027202
12,-0.00015081,-0.017709,0.032833,78.857,48.561,31.86,7.7174,0.0006314
16,-0.00021054,-0.02244,0.035515,105.1,64.818,31.997,7.7173,0.0076157
20,-0.00050377,-0.018337,0.017244,131.3,81.131,32.101,7.717,0.026314
24,-0.00071333,-0.012743,0.0052218,157.48,97.493,32.145,7.7168,0.033175
28,-0.0010357,-0.0030952,-0.010671,183.63,113.89,32.127,7.7165,0.027957
32,-0.0010603,9.7847e-05,-0.0056924,209.78,130.29,32.095,7.7164,0.022331
36,-0.0012829,0.0068921,-0.012559,235.92,146.7,32.045,7.7162,-0.0077619
40,-0.0013921,-0.0059126,0.028499,262.08,163.08,32.077,7.7161,-0.03043
44,-0.0016057,-0.025187,0.064208,288.24,179.45,32.265,7.7159,-0.03686
48,-0.0020967,-0.049529,0.099553,314.37,195.87,32.584,7.7156,-0.069872
52,-0.0027131,-0.065291,0.10306,340.44,212.39,32.972,7.7151,-0.082311
56,-0.0033814,-0.075597,0.092365,366.43,229.04,33.39,7.7145,0.038374
60,-0.0039463,-0.074957,0.070943,392.31,245.84,33.71,7.7139,0.025323
64,-0.0044352,-0.07091,0.053713,418.1,262.78,33.963,7.7134,0.042437
68,-0.0050346,-0.059238,0.029434,443.8,279.84,34.116,7.7127,0.021556
72,-0.0050856,-0.057826,0.038642,469.46,296.98,34.256,7.7126,0.021243
76,-0.0051743,-0.055599,0.040815,495.06,314.19,34.406,7.7125,-0.0022417
80,-0.0052592,-0.061741,0.061417,520.61,331.47,34.6,7.7125,-0.034808
84,-0.0054621,-0.06439,0.06106,546.11,348.84,34.847,7.7123,-0.00072175
88,-0.0057991,-0.070642,0.068249,571.54,366.3,35.129,7.712,0.04992
92,-0.0060362,-0.073652,0.069944,596.89,383.87,35.396,7.7118,0.0013916
96,-0.006458,-0.068885,0.051205,622.16,401.56,35.64,7.7113,0.032488
100,-0.0066425,-0.065586,0.046137,647.36,419.36,35.838,7.7111,0.033181
104,-0.0071092,-0.054321,0.021936,672.48,437.25,35.985,7.7106,0.07478
108,-0.0070855,-0.055384,0.042077,697.54,455.23,36.101,7.7106,-0.0064265
112,-0.0074297,-0.045765,0.022238,722.56,473.26,36.223,7.7102,0.015273
116,-0.0072733,-0.046355,0.035918,747.53,491.36,36.334,7.7104,-0.0055202
120,-0.007311,-0.043364,0.033011,772.46,509.52,36.46,7.7103,-0.014651
124,-0.0072171,-0.043215,0.035236,797.35,527.74,36.602,7.7104,0.015843
128,-0.0072252,-0.039064,0.025756,822.18,546.03,36.731,7.7104,0.042332
132,-0.007098,-0.037251,0.028167,846.97,564.37,36.832,7.7105,0.010335
136,-0.0070713,-0.032837,0.019784,871.73,582.77,36.936,7.7105,0.041548
140,-0.0070389,-0.026594,0.010935,896.44,601.22,37.0,7.7105,0.043741
