Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad)
0,0.0,0.0,0.0,0.0,0.0,35.07,7.7175,0.0
4,-1.3979e-06,-0.0047048,0.015831,25.267,17.735,35.103,7.7175,3.031e-05
8,-1.5317e-05,-0.0099586,0.024593,50.528,35.479,35.187,7.7175,0.0073576
12,-4.3728e-05,-0.017076,0.034979,75.77,53.249,35.306,7.7175,0.0015291
16,-0.00018156,-0.017927,0.026061,100.98,71.06,35.431,7.7173,0.024452
20,-0.00039906,-0.020687,0.025863,126.17,88.915,35.556,7.7171,0.063199
24,-0.00066009,-0.015129,0.010532,151.31,106.82,35.618,7.7169,0.027787
28,-0.0012258,-0.0038854,-0.0096355,176.42,124.77,35.598,7.7163,-0.0050596
32,-0.0015028,0.0024711,-0.01632,201.52,142.72,35.573,7.716,0.081279
36,-0.0016186,0.0047438,-0.0083717,226.63,160.68,35.527,7.7159,0.045301
40,-0.0017064,0.0093157,-0.010501,251.74,178.63,35.477,7.7158,0.0083947
44,-0.0016428,0.0063141,0.0038724,276.85,196.56,35.464,7.7159,0.0015552
48,-0.0017134,0.0061354,0.0050041,301.97,214.49,35.468,7.7158,-0.019081
52,-0.0017548,0.0049759,0.0036128,327.09,232.42,35.503,7.7157,0.045939
56,-0.0017785,0.0060231,0.00066653,352.21,250.37,35.511,7.7157,0.030304
60,-0.0018909,0.0092228,-0.0041169,377.31,268.32,35.488,7.7156,-0.0051648
64,-0.001885,0.0090067,-0.0023345,402.42,286.26,35.487,7.7156,0.03374
68,-0.0020824,0.015495,-0.015599,427.53,304.21,35.442,7.7154,0.020271
72,-0.0022554,0.017282,-0.016071,452.64,322.15,35.404,7.7153,0.078558
76,-0.0022961,0.017663,-0.0082023,477.76,340.07,35.339,7.7152,-0.00018768
80,-0.0023914,0.020842,-0.014138,502.9,357.97,35.29,7.7151,0.011022
84,-0.0023777,0.017756,-0.0047536,528.05,375.86,35.268,7.7151,0.040778
88,-0.0024116,0.01599,-0.0030213,553.21,393.73,35.265,7.7151,0.051334
92,-0.0025108,0.01856,-0.0081828,578.37,411.6,35.223,7.715,-0.0048212
96,-0.0025012,0.018716,-0.0087952,603.54,429.45,35.198,7.715,0.031255
100,-0.0025634,0.021895,-0.014502,628.72,447.29,35.144,7.715,0.015596
104,-0.0025374,0.021816,-0.010174,653.91,465.12,35.09,7.715,0.0049956
108,-0.0024934,0.019032,-0.0041473,679.12,482.92,35.073,7.715,0.033524
112,-0.0025259,0.018837,-0.0071449,704.34,500.71,35.062,7.715,0.051004
