Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad)
0,0.0,0.0,0.0,0.0,0.0,54.063,7.7175,0.0
4,-1.3979e-06,-0.0047089,0.015843,18.119,24.993,54.097,7.7175,-4.9559e-05
8,-2.6741e-05,-0.011173,0.02696,36.231,49.992,54.19,7.7175,0.014954
12,-0.00010673,-0.015809,0.032215,54.311,75.013,54.294,7.7174,-0.022971
16,-0.00027001,-0.017897,0.029034,72.354,100.06,54.409,7.7173,-0.012772
20,-0.00054326,-0.014328,0.014234,90.351,125.14,54.493,7.717,0.016361
24,-0.00065242,-0.011546,0.0092132,108.31,150.24,54.539,7.7169,0.022821
28,-0.00088381,-0.0074283,0.00041153,126.24,175.37,54.577,7.7166,0.070048
32,-0.001048,-0.001468,-0.0061692,144.15,200.51,54.561,7.7165,0.037559
36,-0.0011401,0.003473,-0.0090943,162.05,225.65,54.53,7.7164,0.029746
40,-0.0011476,0.0049728,-0.0039125,179.95,250.8,54.503,7.7164,0.017932
44,-0.0012534,0.0079338,-0.0082882,197.86,275.94,54.491,7.7163,0.051923
48,-0.0012513,0.0055179,0.0052658,215.77,301.07,54.473,7.7163,-0.0068218
52,-0.0012949,0.0053824,0.0045126,233.68,326.21,54.488,7.7162,1.5535e-06
56,-0.001387,0.0076002,-0.0033044,251.59,351.35,54.499,7.7161,0.03941
60,-0.0015384,0.0081803,-0.0043135,269.49,376.49,54.503,7.716,0.069412
64,-0.0015602,0.0075988,0.0017626,287.39,401.64,54.487,7.7159,0.0090398
68,-0.001834,0.014772,-0.017137,305.28,426.78,54.462,7.7157,0.048297
72,-0.0019056,0.017361,-0.01264,323.18,451.92,54.386,7.7156,-0.0086842
76,-0.0019745,0.020045,-0.015321,341.1,477.05,54.334,7.7156,0.022974
80,-0.0019835,0.021006,-0.0121,359.04,502.16,54.274,7.7155,0.0085597
84,-0.0019227,0.015997,0.0019689,377.01,527.25,54.259,7.7156,0.012389
88,-0.0020861,0.019089,-0.0086186,394.98,552.34,54.233,7.7154,0.0004379
92,-0.0020412,0.015828,-0.00098056,412.97,577.42,54.224,7.7155,0.027777
96,-0.0021689,0.019556,-0.013629,430.96,602.5,54.201,7.7154,0.049381
100,-0.002142,0.01721,-0.0024895,448.96,627.57,54.159,7.7154,-0.001928
104,-0.0023144,0.019553,-0.0084713,466.97,652.62,54.122,7.7152,-0.014837
108,-0.0024149,0.022302,-0.016177,485.0,677.67,54.085,7.7151,0.042016
112,-0.0023729,0.018841,-0.003227,503.05,702.7,54.046,7.7152,0.015238
116,-0.0023467,0.017179,-0.002816,521.11,727.73,54.043,7.7152,0.036248
120,-0.0024985,0.020779,-0.01136,539.18,752.75,53.996,7.715,-0.0041647
124,-0.0025285,0.022246,-0.014274,557.26,777.76,53.955,7.715,0.03609
128,-0.002487,0.02029,-0.0050185,575.36,802.75,53.907,7.715,-0.0035278
132,-0.0025483,0.019508,-0.0031745,593.48,827.73,53.876,7.715,-0.02167
136,-0.0025521,0.018991,-0.0052508,611.61,852.7,53.863,7.715,0.015406
140,-0.0025092,0.01504,0.0016616,629.76,877.66,53.868,7.715,0.036616
