Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad)
0,0.0,0.0,0.0,0.0,0.0,15.734,7.7175,0.0
4,-1.399e-06,-0.004709,0.015842,29.714,8.3687,15.768,7.7175,-6.052e-06
8,-1.4603e-05,-0.011865,0.02957,59.425,16.747,15.859,7.7175,-0.0024091
12,-7.6511e-05,-0.015497,0.02911,89.126,25.161,15.976,7.7174,0.0065865
16,-0.00017724,-0.021111,0.033753,118.81,33.618,16.115,7.7174,0.034413
20,-0.00052082,-0.015127,0.011932,148.48,42.143,16.2,7.717,0.030037
24,-0.00073893,-0.012064,0.0057664,178.14,50.711,16.252,7.7168,0.067521
28,-0.00096246,-0.0053537,-0.0046641,207.78,59.318,16.256,7.7165,0.051049
32,-0.0010941,-0.00011806,-0.0054353,237.42,67.943,16.219,7.7164,-0.00065629
36,-0.001237,0.0047296,-0.011158,267.05,76.565,16.2,7.7163,0.050554
40,-0.0012554,0.0062577,-0.0049798,296.69,85.188,16.164,7.7162,0.01912
44,-0.0012892,0.0054646,-0.00010837,326.33,93.799,16.167,7.7162,0.044326
48,-0.0013521,0.0068437,-0.0024065,355.97,102.42,16.167,7.7162,0.042282
52,-0.0013518,0.0035716,0.0077584,385.6,111.03,16.183,7.7161,0.026807
56,-0.001627,0.0090908,-0.0059139,415.24,119.66,16.168,7.7159,-0.004084
60,-0.0016374,0.00898,-0.0033702,444.87,128.28,16.162,7.7159,0.037539
64,-0.0019837,0.014535,-0.010815,474.5,136.91,16.103,7.7155,-0.03239
68,-0.0020062,0.012493,-0.0040123,504.14,145.52,16.096,7.7155,0.042758
72,-0.0023889,0.018736,-0.014279,533.78,154.13,16.028,7.7151,-0.030261
76,-0.0023638,0.017121,-0.0071312,563.42,162.7,15.998,7.7152,0.025262
80,-0.0023561,0.017425,-0.0058435,593.07,171.27,15.964,7.7152,0.0021359
84,-0.0024581,0.021093,-0.015209,622.72,179.82,15.923,7.7151,0.027481
88,-0.0024329,0.017746,-0.0039387,652.38,188.35,15.895,7.7151,0.033852
92,-0.0024533,0.018897,-0.008827,682.04,196.87,15.874,7.7151,0.03779
96,-0.002407,0.017014,-0.0031298,711.71,205.37,15.851,7.7151,0.022203
100,-0.0024708,0.019434,-0.0096945,741.38,213.86,15.816,7.7151,0.0090265
104,-0.0024704,0.020333,-0.011172,771.05,222.34,15.78,7.7151,0.030678
108,-0.0024494,0.019773,-0.0064237,800.73,230.8,15.735,7.7151,-0.002272
112,-0.0024572,0.020231,-0.008226,830.41,239.24,15.705,7.7151,0.0116
116,-0.0024542,0.018014,-0.0006943,860.1,247.66,15.673,7.7151,-0.02186
120,-0.0024296,0.016273,-0.0011665,889.79,256.06,15.677,7.7151,0.021164
124,-0.0024953,0.018734,-0.008877,919.49,264.47,15.649,7.715,0.011114
128,-0.0024653,0.018401,-0.0075729,949.19,272.85,15.622,7.7151,0.029176
132,-0.0025829,0.021737,-0.013211,978.89,281.23,15.565,7.7149,-0.0035379
136,-0.0024965,0.016706,0.0020616,1008.6,289.58,15.542,7.715,-0.0050987
140,-0.0026549,0.01912,-0.011546,1038.3,297.91,15.543,7.7149,0.067456
144,-0.0026409,0.013702,0.0059927,1068.0,306.24,15.522,7.7149,-0.002092
