Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad)
0,0.0,0.0,0.0,0.0,0.0,15.421,7.7175,0.0
4,-1.3994e-06,-0.0047089,0.015841,29.759,8.2062,15.454,7.7175,2.0859e-05
8,-1.5117e-05,-0.011632,0.029366,59.516,16.423,15.543,7.7175,-0.0081819
12,-6.0763e-05,-0.020086,0.041292,89.264,24.669,15.681,7.7175,-0.015862
16,-0.0003413,-0.01911,0.026416,118.99,32.974,15.809,7.7172,0.0028692
20,-0.00046763,-0.019018,0.021062,148.71,41.335,15.913,7.7171,0.035735
24,-0.00065848,-0.014451,0.0097267,178.41,49.751,15.971,7.7169,0.028936
28,-0.0013467,-0.001369,-0.014693,208.09,58.215,15.938,7.7162,-0.0017171
32,-0.0013807,0.00086197,-0.0074951,237.77,66.677,15.91,7.7161,0.043246
36,-0.0014889,0.0064716,-0.012492,267.45,75.142,15.87,7.716,0.0368
40,-0.0015024,0.0068425,-0.001913,297.14,83.599,15.827,7.716,-0.014179
44,-0.001606,0.0092635,-0.0075243,326.82,92.043,15.823,7.7159,0.047585
48,-0.0015947,0.0036753,0.012755,356.51,100.48,15.822,7.7159,-0.016388
52,-0.0017636,0.0067411,-0.00068455,386.19,108.93,15.846,7.7157,0.020199
56,-0.00172,0.0046349,0.0055446,415.88,117.38,15.861,7.7158,0.022747
60,-0.0018576,0.0071958,-0.0043476,445.56,125.84,15.878,7.7156,0.063628
64,-0.0019554,0.010948,-0.0076817,475.24,134.31,15.838,7.7156,0.0044391
68,-0.0020559,0.014935,-0.014689,504.92,142.77,15.803,7.7155,0.046039
72,-0.0021285,0.016798,-0.013731,534.6,151.22,15.757,7.7154,0.052579
76,-0.0021416,0.018204,-0.011085,564.28,159.66,15.702,7.7154,0.018608
80,-0.0023359,0.022346,-0.015892,593.98,168.07,15.63,7.7152,-0.013509
84,-0.0023373,0.021284,-0.0083479,623.67,176.46,15.576,7.7152,-0.0090105
88,-0.0023094,0.019285,-0.0052218,653.38,184.82,15.561,7.7152,0.03179
92,-0.0022787,0.017716,-0.0032333,683.09,193.16,15.547,7.7152,0.029069
96,-0.0023068,0.015315,-0.0012373,712.81,201.49,15.553,7.7152,0.05191
100,-0.0025119,0.016457,-0.0019308,742.52,209.83,15.515,7.715,-0.040098
104,-0.0026489,0.018513,-0.0096813,772.24,218.15,15.495,7.7149,0.013139
108,-0.0026639,0.020479,-0.01228,801.96,226.46,15.449,7.7149,0.015793
112,-0.0026938,0.02104,-0.012892,831.69,234.74,15.413,7.7148,0.051604
116,-0.002697,0.022247,-0.01239,861.42,243.01,15.357,7.7148,0.020574
120,-0.0026642,0.020617,-0.0049632,891.15,251.26,15.312,7.7149,-0.010808
124,-0.0026714,0.020664,-0.0086515,920.9,259.48,15.295,7.7149,0.035091
128,-0.0026093,0.017742,-0.0014563,950.65,267.69,15.276,7.7149,0.021127
132,-0.0025435,0.014209,0.0054785,980.4,275.88,15.274,7.715,-0.010414
136,-0.0026498,0.015463,-0.0023795,1010.2,284.07,15.271,7.7149,-0.0050747
140,-0.002825,0.019946,-0.016998,1039.9,292.26,15.248,7.7147,0.060682
144,-0.0028373,0.016668,-0.0034848,1069.7,300.43,15.212,7.7147,0.033062
148,-0.0029816,0.01923,-0.0080801,1099.4,308.6,15.165,7.7145,-0.020654
152,-0.0029282,0.017783,-0.0049218,1129.2,316.73,15.147,7.7146,0.018605
156,-0.002836,0.01336,0.0062941,1159.0,324.86,15.141,7.7147,-0.011901
160,-0.0028785,0.014634,-0.0033989,1188.7,332.97,15.149,7.7146,0.023056
164,-0.0027926,0.012169,0.003177,1218.5,341.09,15.142,7.7147,-0.00046003
168,-0.0028445,0.013552,-0.0026111,1248.3,349.2,15.135,7.7147,-0.0013783
172,-0.0027587,0.010659,0.003042,1278.0,357.3,15.144,7.7147,0.024505
176,-0.002919,0.013142,-0.0027376,1307.8,365.41,15.121,7.7146,-0.024799
180,-0.0029592,0.014485,-0.0081174,1337.6,373.51,15.115,7.7146,0.042478
184,-0.0028987,0.0093055,0.0069726,1367.4,381.6,15.116,7.7146,0.020436
188,-0.0029886,0.013197,-0.0071352,1397.2,389.69,15.114,7.7145,0.029784
192,-0.0029206,0.0104,0.0015182,1426.9,397.78,15.111,7.7146,0.031484
196,-0.0029286,0.010853,-0.0026209,1456.7,405.86,15.119,7.7146,0.050054
200,-0.0028675,0.0070618,0.0074142,1486.5,413.95,15.13,7.7146,0.023008
204,-0.0029175,0.0095077,-0.0011684,1516.3,422.04,15.132,7.7146,0.0058775
208,-0.0028249,0.0067538,0.0052287,1546.1,430.13,15.148,7.7147,0.024541
212,-0.0029119,0.011085,-0.0075078,1575.8,438.23,15.141,7.7146,0.029168
216,-0.0028078,0.0068847,0.0073315,1605.6,446.32,15.138,7.7147,0.0013517
220,-0.0028548,0.0083624,0.0011205,1635.4,454.41,15.146,7.7146,-0.0011461
224,-0.0027997,0.007618,0.001487,1665.2,462.51,15.159,7.7147,0.029891
228,-0.0027167,0.0052574,0.0067935,1694.9,470.61,15.178,7.7148,0.021275
232,-0.0027982,0.0069581,0.0023687,1724.7,478.72,15.178,7.7147,-0.015614
236,-0.002815,0.0085122,-0.0023729,1754.5,486.83,15.181,7.7147,0.018795
240,-0.0027624,0.0076803,0.0029716,1784.3,494.94,15.172,7.7147,-0.0088806
244,-0.0027315,0.0056019,0.0081415,1814.0,503.05,15.184,7.7148,-0.017191
248,-0.0027266,0.0054697,0.0048364,1843.8,511.16,15.21,7.7148,0.0082222
252,-0.0026706,0.0039601,0.0059113,1873.6,519.28,15.241,7.7148,0.033404
256,-0.0027264,0.0065436,1.8996e-06,1903.4,527.41,15.238,7.7148,-0.0013796
260,-0.0027443,0.0075941,-6.7429e-05,1933.1,535.55,15.228,7.7148,-0.0078338
264,-0.0027234,0.0081408,-0.00039727,1962.9,543.69,15.226,7.7148,0.0071235
268,-0.0027758,0.0070055,0.00017608,1992.7,551.82,15.248,7.7147,0.063153
272,-0.0027419,0.0047482,0.0088861,2022.4,559.96,15.249,7.7148,-0.011525
276,-0.0029054,0.0086096,-0.0034785,2052.2,568.11,15.253,7.7146,0.0050708
280,-0.0028267,0.0053846,0.0084026,2082.0,576.26,15.253,7.7147,-0.019154
284,-0.0030345,0.0071659,0.0026412,2111.7,584.41,15.257,7.7145,-0.031663
288,-0.0029688,0.0034446,0.0088644,2141.5,592.55,15.297,7.7145,0.030607
292,-0.0030435,0.0073542,-0.0028601,2171.2,600.72,15.3,7.7145,0.016723
296,-0.0030136,0.0084034,-0.003921,2201.0,608.89,15.296,7.7145,0.040326
300,-0.0029343,0.0070145,0.0024192,2230.7,617.06,15.293,7.7146,0.021145
304,-0.0031002,0.011915,-0.0080994,2260.5,625.23,15.265,7.7144,-0.004291
308,-0.0030853,0.0091931,-0.00019549,2290.3,633.39,15.271,7.7144,0.050993
312,-0.0030001,0.0047458,0.012274,2320.0,641.55,15.284,7.7145,-0.0060045
316,-0.0031795,0.0070769,0.002843,2349.8,649.72,15.297,7.7143,-0.021203
320,-0.0030965,0.0040659,0.0076666,2379.5,657.88,15.331,7.7144,0.028296
324,-0.0033867,0.010036,-0.0064549,2409.3,666.07,15.309,7.7141,-0.018521
328,-0.0035213,0.0089258,-0.0044127,2439.0,674.25,15.321,7.714,0.081483
332,-0.0034938,0.0089504,0.00030579,2468.8,682.44,15.3,7.714,0.0077153
336,-0.003371,0.0066278,0.005779,2498.5,690.61,15.313,7.7141,0.012029
340,-0.0033412,0.0078289,0.00076489,2528.3,698.79,15.322,7.7142,0.011838
344,-0.0032761,0.0065379,0.0025153,2558.0,706.97,15.34,7.7142,0.040252
348,-0.0033148,0.0093293,-0.005882,2587.8,715.17,15.341,7.7142,0.052518
352,-0.003262,0.010337,-0.0039511,2617.5,723.36,15.317,7.7142,0.019585
356,-0.0033497,0.010541,-0.0055692,2647.3,731.55,15.321,7.7142,0.074021
360,-0.0033386,0.0088749,0.00149,2677.1,739.73,15.313,7.7142,0.033507
364,-0.0032578,0.0080111,0.0039442,2706.8,747.92,15.315,7.7142,0.0018435
368,-0.0032273,0.0088044,0.00032342,2736.6,756.1,15.321,7.7143,0.0099692
372,-0.0031943,0.0043144,0.013586,2766.3,764.29,15.332,7.7143,-0.069022
