Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad)
0,0.0,0.0,0.0,0.0,0.0,5.8522,7.7175,0.0
4,-1.4005e-06,-0.0047138,0.015854,30.709,3.1451,5.8857,7.7175,-3.7781e-06
8,-1.6278e-05,-0.011975,0.030197,61.418,6.3005,5.976,7.7175,-0.0089283
12,-0.0001075,-0.017871,0.032931,92.123,9.4877,6.1171,7.7174,0.033781
16,-0.00032642,-0.019741,0.026554,122.82,12.734,6.2517,7.7172,0.060703
20,-0.00049496,-0.017498,0.017872,153.51,16.045,6.3353,7.717,0.029624
24,-0.00082996,-0.011194,0.0011182,184.2,19.406,6.3888,7.7167,0.074116
28,-0.00099255,-0.005535,-0.0016229,214.87,22.808,6.3705,7.7165,0.0066125
32,-0.0011516,0.00020756,-0.0069076,245.55,26.219,6.3476,7.7163,0.010499
36,-0.0015355,0.0080586,-0.014411,276.22,29.639,6.2822,7.716,-0.024031
40,-0.0015248,0.0068592,-0.0011314,306.9,33.037,6.25,7.716,-0.0094183
44,-0.0015252,0.0055132,0.004815,337.58,36.424,6.2518,7.716,-0.0084901
48,-0.0015259,0.0040364,0.0076239,368.26,39.81,6.2724,7.716,-0.0034435
52,-0.0017216,0.0054821,-0.0018869,398.93,43.204,6.309,7.7158,0.074969
56,-0.001745,0.0049415,0.0038656,429.61,46.617,6.3019,7.7158,0.009654
60,-0.0018617,0.0089952,-0.0066643,460.28,50.032,6.296,7.7156,0.026582
64,-0.002063,0.015807,-0.020113,490.95,53.453,6.2505,7.7155,0.055866
68,-0.0020557,0.014241,-0.0060702,521.62,56.857,6.1978,7.7155,0.019647
72,-0.0022346,0.017998,-0.011325,552.3,60.246,6.1445,7.7153,-0.013712
76,-0.0022358,0.017396,-0.0059844,582.98,63.61,6.1058,7.7153,-0.0052684
80,-0.0023038,0.019115,-0.012011,613.66,66.956,6.0835,7.7152,0.047123
84,-0.0023872,0.015535,-0.0021109,644.34,70.285,6.0711,7.7151,0.055695
88,-0.002471,0.018484,-0.011243,675.02,73.61,6.0453,7.7151,0.043701
92,-0.0025177,0.018871,-0.01068,705.7,76.922,6.0122,7.715,0.051825
96,-0.0024956,0.018315,-0.0065719,736.38,80.218,5.975,7.715,0.021696
100,-0.0025551,0.021379,-0.014132,767.07,83.5,5.9331,7.715,0.027793
104,-0.0026057,0.021746,-0.013513,797.76,86.76,5.8926,7.7149,0.055277
108,-0.0025756,0.019865,-0.0054284,828.44,89.999,5.8506,7.7149,0.015551
112,-0.0025843,0.017687,0.00064259,859.14,93.217,5.8243,7.7149,-0.024712
116,-0.002791,0.021317,-0.012426,889.83,96.422,5.7978,7.7147,0.0094497
120,-0.0026997,0.01774,-0.0011082,920.52,99.609,5.7704,7.7148,0.0039791
124,-0.0026492,0.016446,-0.0012503,951.22,102.78,5.7654,7.7149,0.012778
128,-0.0028065,0.020369,-0.011949,981.91,105.95,5.7264,7.7147,0.0010206
132,-0.002831,0.019626,-0.010159,1012.6,109.09,5.7018,7.7147,0.054675
136,-0.0028595,0.017405,-0.0042951,1043.3,112.22,5.6827,7.7147,0.047556
140,-0.0029807,0.018993,-0.0059537,1074.0,115.35,5.6364,7.7145,-0.024446
144,-0.0028916,0.015063,0.0023903,1104.7,118.44,5.6342,7.7146,0.0056249
148,-0.0028778,0.014213,0.001427,1135.4,121.53,5.6317,7.7146,-0.0075474
152,-0.0029966,0.016924,-0.0074577,1166.1,124.62,5.6108,7.7145,-0.00026149
156,-0.0030977,0.013814,-0.0024968,1196.8,127.69,5.6207,7.7144,0.073882
160,-0.0032603,0.015736,-0.0035962,1227.5,130.77,5.5761,7.7143,-0.030275
164,-0.0032363,0.015142,-0.0032011,1258.2,133.83,5.5652,7.7143,0.0073687
168,-0.0031527,0.01404,-0.0013857,1288.9,136.88,5.5573,7.7144,0.015865
172,-0.0030949,0.013006,-0.0014133,1319.6,139.92,5.5604,7.7144,0.036549
176,-0.0030172,0.011437,0.0014685,1350.4,142.95,5.561,7.7145,0.022932
180,-0.0029389,0.010062,0.0035309,1381.1,145.99,5.5654,7.7146,0.005644
184,-0.0029571,0.011603,-0.0022172,1411.8,149.03,5.5617,7.7146,0.0063782
188,-0.0029223,0.011681,-0.0034326,1442.5,152.06,5.5603,7.7146,0.037837
192,-0.0028816,0.011678,-0.0028619,1473.2,155.09,5.5513,7.7146,0.0333
196,-0.0029129,0.011162,0.0020066,1503.9,158.12,5.5276,7.7146,-0.02821
200,-0.0029245,0.010596,0.001582,1534.6,161.14,5.5316,7.7146,-0.0044802
204,-0.0028675,0.00989,0.0010947,1565.3,164.16,5.5408,7.7146,0.019288
208,-0.0028162,0.0084784,0.0022758,1596.0,167.18,5.5567,7.7147,0.037464
212,-0.0028018,0.0073945,0.0061759,1626.7,170.2,5.5553,7.7147,-0.018501
216,-0.0027903,0.0073659,0.0019922,1657.5,173.22,5.5794,7.7147,0.026284
220,-0.002718,0.0064334,0.0041392,1688.2,176.25,5.5893,7.7148,0.013962
224,-0.0026956,0.0043677,0.0098943,1718.9,179.29,5.6017,7.7148,-0.023294
228,-0.0027874,0.0068137,-0.0010705,1749.6,182.33,5.6244,7.7147,0.025888
232,-0.0027635,0.0079494,-0.0028027,1780.3,185.38,5.6222,7.7147,0.036061
236,-0.0027396,0.0088182,-0.0031553,1811.0,188.43,5.6149,7.7148,0.036323
240,-0.0027333,0.010966,-0.0062783,1841.7,191.49,5.5964,7.7148,0.030066
244,-0.002705,0.0065777,0.0062181,1872.4,194.53,5.6086,7.7148,0.037109
248,-0.0026783,0.0070669,0.0029858,1903.1,197.58,5.6202,7.7148,0.013333
252,-0.0026622,0.0055112,0.003909,1933.8,200.63,5.6486,7.7148,0.047247
256,-0.0026143,0.0035383,0.0098323,1964.5,203.69,5.6616,7.7149,-0.0091834
260,-0.0027563,0.0074286,-0.0031474,1995.2,206.76,5.6715,7.7147,0.014783
264,-0.0026984,0.0074901,-0.0010095,2025.9,209.84,5.668,7.7148,0.026524
268,-0.0026673,0.008717,-0.0022881,2056.7,212.92,5.6591,7.7148,0.018781
272,-0.0025805,0.0067736,0.0046492,2087.4,215.99,5.6608,7.7149,0.0055455
276,-0.0026146,0.008886,-0.0034616,2118.1,219.07,5.6702,7.7149,0.038011
